#"Step","Time (ps)","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)","Box Volume (nm^3)","Density (g/mL)","Speed (ns/day)"
1000,4.000000000000003,-840607.560169227,3254.3462743200826,-837353.2138949069,7.319181901322021,587.0833801128022,0.9034914571479512,0
2000,7.999999999999562,-839801.3931770395,5434.782216353196,-834366.6109606862,12.223087613462333,587.0833801128022,0.9034914571479512,1.01e+03
3000,11.999999999999122,-838041.222278602,8077.85756916727,-829963.3647094347,18.16749169817787,587.0833801128022,0.9034914571479512,897
4000,15.999999999998682,-836435.657825477,10705.659596678282,-825729.9982287986,24.07754533684122,587.0833801128022,0.9034914571479512,925
5000,20.000000000000018,-834579.026966102,13330.567980318949,-821248.458985783,29.981091030725658,587.0833801128022,0.9034914571479512,916
6000,24.000000000001354,-832848.4752082895,16128.831765549232,-816719.6434427402,36.27452139294529,587.0833801128022,0.9034914571479512,933
7000,28.00000000000269,-831154.513294227,18799.788395735362,-812354.7248984916,42.281631816668934,587.0833801128022,0.9034914571479512,939
8000,32.00000000000402,-829577.2134895395,21435.492015879136,-808141.7214736603,48.20945651867784,587.0833801128022,0.9034914571479512,933
9000,36.000000000001805,-828312.485950477,24120.845965420856,-804191.6399850561,54.24894720878141,587.0833801128022,0.9034914571479512,936
10000,39.99999999999959,-827241.6314582895,26857.47400881565,-800384.1574494739,60.40375581163982,587.0833801128022,0.9034914571479512,925
11000,43.99999999999737,-825552.546497352,29664.22426531058,-795888.3222320414,66.71627265748795,587.0833801128022,0.9034914571479512,918
12000,47.999999999995154,-823739.8150520395,32435.80932228145,-791304.005729758,72.94970127171678,587.0833801128022,0.9034914571479512,919
13000,51.99999999999294,-822110.525012977,34961.92209149258,-787148.6029214844,78.63105085857703,587.0833801128022,0.9034914571479512,912
14000,55.99999999999072,-820511.683216102,37467.62257193247,-783044.0606441695,84.26649222241933,587.0833801128022,0.9034914571479512,911
15000,59.9999999999885,-818585.8150520395,40096.080856024375,-778489.734196015,90.1780218138193,587.0833801128022,0.9034914571479512,902
16000,63.99999999998629,-816503.2681770395,43018.09183504847,-773485.1763419909,96.74976558979644,587.0833801128022,0.9034914571479512,900
17000,67.99999999999118,-814678.806262977,45756.36986918791,-768922.436393789,102.90828510150646,587.0833801128022,0.9034914571479512,898
18000,71.99999999999606,-812335.3326301645,47907.95294575709,-764427.3796844074,107.7472993261086,587.0833801128022,0.9034914571479512,893
19000,76.00000000000095,-810184.849231727,51128.90029939532,-759055.9489323316,114.9913654422091,587.0833801128022,0.9034914571479512,892
20000,80.00000000000584,-808126.890247352,53194.42574195204,-754932.4645053999,119.636831892776,587.0833801128022,0.9034914571479512,887
21000,84.00000000001073,-805254.841419227,55871.819163124426,-749383.0222561025,125.65841897021684,587.0833801128022,0.9034914571479512,886
22000,88.00000000001562,-803469.255481727,58808.89659520777,-744660.3588865192,132.26404792658136,587.0833801128022,0.9034914571479512,884
23000,92.0000000000205,-801332.7955207895,61336.33706586243,-739996.458454927,137.94838357809383,587.0833801128022,0.9034914571479512,878
24000,96.0000000000254,-798463.218372352,64564.48267747316,-733898.7356948787,145.2086389239297,587.0833801128022,0.9034914571479512,877
25000,100.00000000003028,-796850.4478645395,66659.54766823316,-730190.9001963063,149.9205412446708,587.0833801128022,0.9034914571479512,873
26000,104.00000000003517,-793362.1685676645,69180.86046640601,-724181.3081012585,155.5910954649078,587.0833801128022,0.9034914571479512,871
27000,108.00000000004006,-791343.589466102,71863.33785248309,-719480.2516136188,161.6241166248896,587.0833801128022,0.9034914571479512,870
28000,112.00000000004495,-787636.0884895395,74419.7685007354,-713216.319988804,167.3736525855588,587.0833801128022,0.9034914571479512,864
29000,116.00000000004984,-785232.6607551645,77576.29769362131,-707656.3630615431,174.47283914780994,587.0833801128022,0.9034914571479512,870
30000,120.00000000005473,-781470.269153602,79838.72963871551,-701631.5395148864,179.56115782986717,587.0833801128022,0.9034914571479512,872
31000,124.00000000005961,-778380.989856727,82129.39859446115,-696251.5912622658,184.7129829122538,587.0833801128022,0.9034914571479512,868
32000,128.0000000000645,-773093.7564582895,86302.10545856337,-686791.650999726,194.0976021214189,587.0833801128022,0.9034914571479512,864
33000,132.00000000005517,-770228.6080207895,87832.123962263,-682396.4840585265,197.53868761048716,587.0833801128022,0.9034914571479512,859
34000,136.00000000004584,-766850.667591102,90631.94957339007,-676218.7180177119,203.83563059455867,587.0833801128022,0.9034914571479512,855
35000,140.00000000003652,-759876.011341102,92823.66863194329,-667052.3427091587,208.76491258053812,587.0833801128022,0.9034914571479512,849
36000,144.0000000000272,-755343.542591102,95692.27988210332,-659651.2627089986,215.21655778798814,587.0833801128022,0.9034914571479512,846
37000,148.00000000001788,-749020.0748176645,98946.1819996321,-650073.8928180323,222.53474075924117,587.0833801128022,0.9034914571479512,843
38000,152.00000000000855,-743259.6685676645,101930.18353564432,-641329.4850320201,229.24590429098944,587.0833801128022,0.9034914571479512,837
39000,155.99999999999923,-735777.878528602,103902.89767554298,-631874.980853059,233.6826336406481,587.0833801128022,0.9034914571479512,834
40000,159.9999999999899,-729382.1763801645,106726.41155699294,-622655.7648231715,240.03285268842222,587.0833801128022,0.9034914571479512,829
41000,163.9999999999806,-724392.009387977,109685.30942802633,-614706.6999599506,246.68755686554687,587.0833801128022,0.9034914571479512,827
42000,167.99999999997127,-718774.3111457895,111930.46715931146,-606843.8439864779,251.73702500669253,587.0833801128022,0.9034914571479512,824
43000,171.99999999996194,-712724.9166145395,114737.51754231413,-597987.3990722253,258.05021685154765,587.0833801128022,0.9034914571479512,821
44000,175.99999999995262,-706992.7310676645,117601.74761203973,-589390.9834556247,264.4920085726631,587.0833801128022,0.9034914571479512,818
45000,179.9999999999433,-702444.0103645395,119935.5813631072,-582508.4290014323,269.7409133638646,587.0833801128022,0.9034914571479512,815
46000,183.99999999993398,-695813.3541145395,122973.6733909666,-572839.6807235728,276.5737290234413,587.0833801128022,0.9034914571479512,813
47000,187.99999999992465,-690419.5235481332,125396.25800537108,-565023.2655427621,282.0222387914668,587.0833801128022,0.9034914571479512,811
48000,191.99999999991533,-685045.5938606332,128036.97036486381,-557008.6234957695,287.9613283901096,587.0833801128022,0.9034914571479512,807
49000,195.999999999906,-679968.5435676645,130829.72252080555,-549138.8210468589,294.24236283194,587.0833801128022,0.9034914571479512,805
50000,199.9999999998967,-674209.9244270395,132587.25792541917,-541622.6665016203,298.19514481641653,587.0833801128022,0.9034914571479512,802
51000,203.99999999988736,-674927.5963020395,134236.30443265638,-540691.2918693831,301.9039300324983,587.0833801128022,0.9034914571479512,800
52000,207.99999999987804,-673044.3502082895,132818.00103203824,-540226.3491762512,298.7140972042272,587.0833801128022,0.9034914571479512,798
53000,211.99999999986872,-673120.0045051645,133287.9671959179,-539832.0373092466,299.7710737982808,587.0833801128022,0.9034914571479512,795
