#"Step","Time (ps)","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)","Box Volume (nm^3)","Density (g/mL)","Speed (ns/day)"
1000,4.000000000000003,-778153.0283685671,3007.7140822123765,-775145.3142863547,7.221321035709944,551.8227173176247,0.9001333340440021,0
2000,7.999999999999562,-777986.1436029421,5145.956846596563,-772840.1867563456,12.35509939091326,551.8227173176247,0.9001333340440021,1.03e+03
3000,11.999999999999122,-776804.9258295046,7552.879947995782,-769252.0458815088,18.133961326714477,551.8227173176247,0.9001333340440021,954
4000,15.999999999998682,-775385.2187982546,10041.588200550388,-765343.6305977042,24.109183959145707,551.8227173176247,0.9001333340440021,971
5000,20.000000000000018,-773895.8320795046,12598.356310432357,-761297.4757690723,30.247813772569344,551.8227173176247,0.9001333340440021,947
6000,24.000000000001354,-772024.6904779421,15007.601062996255,-757017.0894149458,36.03224983807,551.8227173176247,0.9001333340440021,964
7000,28.00000000000269,-770180.5439935671,17713.277961402724,-752467.2660321645,42.528399727398956,551.8227173176247,0.9001333340440021,974
8000,32.00000000000402,-768739.5967279421,20147.117542232605,-748592.4791857095,48.37188633622658,551.8227173176247,0.9001333340440021,966
9000,36.000000000001805,-767382.3545404421,22640.069019959457,-744742.2855204827,54.357296669469136,551.8227173176247,0.9001333340440021,969
10000,39.99999999999959,-766166.5537591921,25106.084646550284,-741060.4691126419,60.278035819511906,551.8227173176247,0.9001333340440021,960
11000,43.99999999999737,-764448.8252435671,27745.831898977616,-736702.9933445895,66.61589302330879,551.8227173176247,0.9001333340440021,960
12000,47.999999999995154,-762398.6689935671,30234.979596378515,-732163.6893971886,72.59217073352526,551.8227173176247,0.9001333340440021,960
13000,51.99999999999294,-761112.9365716921,32698.376864288803,-728414.5597074033,78.50662337889972,551.8227173176247,0.9001333340440021,951
14000,55.99999999999072,-759071.7793451296,34992.218054762925,-724079.5612903667,84.01398318391296,551.8227173176247,0.9001333340440021,951
15000,59.9999999999885,-757086.4131341921,37646.75717430329,-719439.6559598888,90.38735467471354,551.8227173176247,0.9001333340440021,942
16000,63.99999999998629,-755071.0381341921,39740.89252172188,-715330.1456124702,95.415234061711,551.8227173176247,0.9001333340440021,939
17000,67.99999999999118,-753393.1426263796,42719.37647641622,-710673.7661499634,102.56637550955027,551.8227173176247,0.9001333340440021,936
18000,71.99999999999606,-751760.6992670046,45047.96605282172,-706712.7332141829,108.15716387307153,551.8227173176247,0.9001333340440021,929
19000,76.00000000000095,-749975.7939935671,47770.875702180725,-702204.9182913864,114.69468844880855,551.8227173176247,0.9001333340440021,928
20000,80.00000000000584,-748415.3486810671,50296.21370352252,-698119.1349775447,120.75785666656454,551.8227173176247,0.9001333340440021,923
21000,84.00000000001073,-746655.4463373171,52652.96133340325,-694002.4850039139,126.41625063963751,551.8227173176247,0.9001333340440021,922
22000,88.00000000001562,-744187.0176263796,55162.17348343303,-689024.8441429466,132.44070176324323,551.8227173176247,0.9001333340440021,920
23000,92.0000000000205,-742106.8584466921,57788.57733949815,-684318.281107194,138.746522361763,551.8227173176247,0.9001333340440021,916
24000,96.0000000000254,-739618.6103998171,60122.923519104836,-679495.6868807123,144.3511319458706,551.8227173176247,0.9001333340440021,915
25000,100.00000000003028,-737448.7822748171,62485.84296593082,-674962.9393088863,150.02434404005385,551.8227173176247,0.9001333340440021,911
26000,104.00000000003517,-735032.2588373171,65248.73819638719,-669783.5206409299,156.6578713308133,551.8227173176247,0.9001333340440021,910
27000,108.00000000004006,-732272.2891107546,67394.37264847182,-664877.9164622828,161.80939663550103,551.8227173176247,0.9001333340440021,908
28000,112.00000000004495,-729083.5703607546,69391.80198693326,-659691.7683738214,166.6050913408189,551.8227173176247,0.9001333340440021,904
29000,116.00000000004984,-726968.9551263796,72325.3455990022,-654643.6095273774,173.6483340214608,551.8227173176247,0.9001333340440021,902
30000,120.00000000005473,-722802.5361810671,74763.70640447829,-648038.8297765888,179.502675789307,551.8227173176247,0.9001333340440021,897
31000,124.00000000005961,-720041.9824701296,77659.58224642678,-642382.4002237029,186.4554806645911,551.8227173176247,0.9001333340440021,893
32000,128.0000000000645,-716090.6787591921,80167.09879621705,-635923.5799629751,192.47586076504,551.8227173176247,0.9001333340440021,890
33000,132.00000000005517,-712243.6270013796,82530.0068515213,-629713.6201498583,198.14904550893888,551.8227173176247,0.9001333340440021,884
34000,136.00000000004584,-708001.9443841921,84936.57410607196,-623065.3702781202,203.92705308017526,551.8227173176247,0.9001333340440021,880
35000,140.00000000003652,-702505.3574701296,87371.26030980912,-615134.0971603205,209.7725723741726,551.8227173176247,0.9001333340440021,875
36000,144.0000000000272,-698154.4092279421,90269.53354060356,-607884.8756873385,216.73113322028067,551.8227173176247,0.9001333340440021,872
37000,148.00000000001788,-693493.4248529421,92263.57699063316,-601229.847862309,221.5186986331561,551.8227173176247,0.9001333340440021,869
38000,152.00000000000855,-686852.5430170046,94807.2488331621,-592045.2941838425,227.6258851815816,551.8227173176247,0.9001333340440021,865
39000,155.99999999999923,-681003.1250482546,97467.95090695383,-583535.1741413008,234.01405351475515,551.8227173176247,0.9001333340440021,862
40000,159.9999999999899,-674442.9668451296,100007.27627294499,-574435.6905721846,240.11080446272277,551.8227173176247,0.9001333340440021,858
41000,163.9999999999806,-670144.0972162234,101869.34119083278,-568274.7560253906,244.5814982168012,551.8227173176247,0.9001333340440021,855
42000,167.99999999997127,-666872.7139154421,104797.72201987961,-562074.9918955625,251.6123453995263,551.8227173176247,0.9001333340440021,859
43000,171.99999999996194,-661503.3193841921,107481.07729953976,-554022.2420846524,258.0549025700669,551.8227173176247,0.9001333340440021,859
44000,175.99999999995262,-654794.1328607546,109966.71338702168,-544827.4194737329,264.0227491389301,551.8227173176247,0.9001333340440021,857
45000,179.9999999999433,-651593.6108880984,112297.31086283724,-539296.3000252611,269.61835833510077,551.8227173176247,0.9001333340440021,852
46000,183.99999999993398,-645780.7456537234,115453.85245974071,-530326.8931939827,277.19700431365925,551.8227173176247,0.9001333340440021,850
47000,187.99999999992465,-640754.2417474734,117767.92652355006,-522986.3152239233,282.75294189895175,551.8227173176247,0.9001333340440021,848
48000,191.99999999991533,-634732.3218255984,120116.33180194645,-514615.9900236519,288.39130644216056,551.8227173176247,0.9001333340440021,845
49000,195.999999999906,-629138.2939935671,123478.81525278941,-505659.4787407777,296.4644050852131,551.8227173176247,0.9001333340440021,843
50000,199.9999999998967,-624633.3403802859,125530.16814014618,-499103.1722401397,301.3895666372173,551.8227173176247,0.9001333340440021,839
51000,203.99999999988736,-623651.7056146609,125215.1361719903,-498436.56944267056,300.63319587976423,551.8227173176247,0.9001333340440021,837
52000,207.99999999987804,-623586.2441888796,125693.302375475,-497892.9418134046,301.7812410627191,551.8227173176247,0.9001333340440021,836
53000,211.99999999986872,-623337.7710443484,125131.1184305599,-498206.6526137885,300.4314748826946,551.8227173176247,0.9001333340440021,832
54000,215.9999999998594,-624573.9067865359,124663.01106502383,-499910.89572151203,299.30758029919417,551.8227173176247,0.9001333340440021,831
55000,219.99999999985008,-624044.2505365359,125755.31222865346,-498288.9383078824,301.930122587006,551.8227173176247,0.9001333340440021,829
56000,223.99999999984075,-624059.9062982546,124543.45225313905,-499516.45404511556,299.0205275609123,551.8227173176247,0.9001333340440021,827
57000,227.99999999983143,-624292.5811029421,124959.45009563125,-499333.1310073109,300.01931065288403,551.8227173176247,0.9001333340440021,826
58000,231.9999999998221,-623617.3823724734,124787.25364034972,-498830.12873212365,299.60587844130737,551.8227173176247,0.9001333340440021,824
59000,235.9999999998128,-624080.2959466921,125983.42970511579,-498096.8662415763,302.47781744308713,551.8227173176247,0.9001333340440021,823
60000,239.99999999980346,-624633.5615716921,125386.09439339035,-499247.46717830177,301.0436551743244,551.8227173176247,0.9001333340440021,821
61000,243.99999999979414,-623943.3335443484,126005.4769153769,-497937.85662897147,302.53075132539294,551.8227173176247,0.9001333340440021,820
62000,247.99999999978482,-623429.9853998171,126254.13242280122,-497175.8529770159,303.12775662487525,551.8227173176247,0.9001333340440021,819
63000,251.9999999997755,-625153.4170404421,125302.22083117627,-499851.19620926585,300.8422803419431,551.8227173176247,0.9001333340440021,817
64000,255.99999999976617,-625001.3525873171,123920.6527258401,-501080.699861477,297.52522740784525,551.8227173176247,0.9001333340440021,816
65000,259.99999999978525,-624631.8975091921,125651.19865893375,-498980.69885025837,301.6801528456778,551.8227173176247,0.9001333340440021,814
66000,263.99999999980434,-622940.8511224734,125142.46111385772,-497798.3900086157,300.45870790925926,551.8227173176247,0.9001333340440021,813
67000,267.99999999982344,-621743.9092279421,126650.0219600799,-495093.8872678622,304.078261016325,551.8227173176247,0.9001333340440021,812
68000,271.99999999984254,-623260.7422357546,126463.23468890505,-496797.50754684955,303.62979722832233,551.8227173176247,0.9001333340440021,811
69000,275.99999999986164,-624449.3433099734,125002.42006255404,-499446.9232474193,300.12247867935247,551.8227173176247,0.9001333340440021,810
70000,279.99999999988074,-623923.3345209109,124468.08904549474,-499455.24547541613,298.8395855226052,551.8227173176247,0.9001333340440021,809
71000,283.99999999989984,-625026.1152826296,125003.14389054797,-500022.97139208164,300.12421654212,551.8227173176247,0.9001333340440021,808
72000,287.99999999991894,-625746.6084466921,125062.11968896189,-500684.4887577302,300.2658135031486,551.8227173176247,0.9001333340440021,807
73000,291.99999999993804,-622937.4985834109,124798.52643283422,-498138.97215057665,299.6329436646878,551.8227173176247,0.9001333340440021,806
74000,295.99999999995714,-622771.6074701296,125025.67639511573,-497745.9310750139,300.1783155837093,551.8227173176247,0.9001333340440021,805
75000,299.99999999997624,-623750.7524896609,125359.47589298611,-498391.27659667475,300.979745929079,551.8227173176247,0.9001333340440021,804
76000,303.99999999999534,-624071.2085443484,124724.75622945689,-499346.4523148915,299.4558263234459,551.8227173176247,0.9001333340440021,803
77000,308.00000000001444,-623886.6714349734,126023.79678784858,-497862.8746471248,302.57473611810764,551.8227173176247,0.9001333340440021,805
78000,312.00000000003354,-624096.3730951296,124704.41029817524,-499391.9627969544,299.406977098573,551.8227173176247,0.9001333340440021,806
79000,316.00000000005264,-623407.5459466921,125077.85996354383,-498329.6859831483,300.30360485327014,551.8227173176247,0.9001333340440021,805
80000,320.00000000007174,-623261.7749505984,125437.3305475328,-497824.4444030656,301.1666697653342,551.8227173176247,0.9001333340440021,804
81000,324.00000000009084,-623857.7773920046,125515.13998931006,-498342.63740269456,301.35348504874366,551.8227173176247,0.9001333340440021,804
82000,328.00000000010994,-624625.0249505984,124825.12123747077,-499799.9037131276,299.6967960179744,551.8227173176247,0.9001333340440021,803
83000,332.00000000012903,-623939.9795404421,125235.25995534324,-498704.7195850989,300.6815117422673,551.8227173176247,0.9001333340440021,802
84000,336.00000000014813,-625056.4443841921,125156.6081109643,-499899.8362732278,300.4926739063606,551.8227173176247,0.9001333340440021,801
85000,340.00000000016723,-624323.3828607546,125511.89062672434,-498811.4922340303,301.3456835457578,551.8227173176247,0.9001333340440021,800
86000,344.00000000018633,-624037.2295404421,126760.12492369162,-497277.1046167505,304.34261089317175,551.8227173176247,0.9001333340440021,800
87000,348.00000000020543,-624415.1143060671,126009.22670968506,-498405.88759638206,302.53975433158865,551.8227173176247,0.9001333340440021,799
