#"Step","Time (ps)","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)","Box Volume (nm^3)","Density (g/mL)","Speed (ns/day)"
1000,4.000000000000003,-2108814.929111259,8105.56494140625,-2100709.364169853,7.333556887125408,1427.5447514957261,0.9242388982309143,0
2000,7.999999999999562,-2107904.659580009,13567.154296875,-2094337.505283134,12.27496152973627,1427.5447514957261,0.9242388982309143,417
3000,11.999999999999122,-2104219.077548759,20043.41796875,-2084175.659580009,18.134398644489576,1427.5447514957261,0.9242388982309143,394
4000,15.999999999998682,-2100192.919345634,26762.19921875,-2073430.720126884,24.213254944477242,1427.5447514957261,0.9242388982309143,399
5000,20.000000000000018,-2096518.339267509,33609.515625,-2062908.823642509,30.408404172492627,1427.5447514957261,0.9242388982309143,391
6000,24.000000000001354,-2092425.968173759,40075.859375,-2052350.108798759,36.258866180401185,1427.5447514957261,0.9242388982309143,391
7000,28.00000000000269,-2088303.839267509,46644.11328125,-2041659.725986259,42.20153199318181,1427.5447514957261,0.9242388982309143,393
8000,32.00000000000402,-2083980.610751884,53196.9921875,-2030783.618564384,48.13028718554859,1427.5447514957261,0.9242388982309143,389
9000,36.000000000001805,-2079888.167392509,60030.546875,-2019857.620517509,54.31298541871694,1427.5447514957261,0.9242388982309143,389
10000,39.99999999999959,-2076039.913486259,66551.6328125,-2009488.280673759,60.212975738231044,1427.5447514957261,0.9242388982309143,386
11000,43.99999999999737,-2071508.626376884,73119.90625,-1998388.720126884,66.15565922202337,1427.5447514957261,0.9242388982309143,386
12000,47.999999999995154,-2066339.649814384,80024.6875,-1986314.962314384,72.40280010067592,1427.5447514957261,0.9242388982309143,387
13000,51.99999999999294,-2062131.636142509,86358.375,-1975773.261142509,78.1332405970871,1427.5447514957261,0.9242388982309143,384
14000,55.99999999999072,-2057552.622470634,93305.0625,-1964247.559970634,84.41829639845294,1427.5447514957261,0.9242388982309143,384
15000,59.9999999999885,-2052489.427158134,99425.4375,-1953063.989658134,89.95574117343159,1427.5447514957261,0.9242388982309143,381
16000,63.99999999998629,-2047904.304111259,106422.640625,-1941481.663486259,96.28650127947013,1427.5447514957261,0.9242388982309143,382
17000,67.99999999999118,-2042019.040439384,112945.234375,-1929073.806064384,102.18785580108782,1427.5447514957261,0.9242388982309143,382
18000,71.99999999999606,-2036757.071689384,119641.5625,-1917115.509189384,108.24639750601992,1427.5447514957261,0.9242388982309143,380
19000,76.00000000000095,-2032244.862705009,126104.46875,-1906140.393955009,114.09374941586847,1427.5447514957261,0.9242388982309143,380
20000,80.00000000000584,-2026468.954501884,132912.59375,-1893556.360751884,120.25343999179749,1427.5447514957261,0.9242388982309143,378
21000,84.00000000001073,-2021413.591220634,139860.96875,-1881552.622470634,126.5400225685746,1427.5447514957261,0.9242388982309143,379
22000,88.00000000001562,-2015894.534580009,145543.28125,-1870351.253330009,131.681127756234,1427.5447514957261,0.9242388982309143,379
23000,92.0000000000205,-2009546.171298759,152329.46875,-1857216.702548759,137.82097025181648,1427.5447514957261,0.9242388982309143,376
24000,96.0000000000254,-2002682.663486259,159321.578125,-1843361.085361259,144.14712175800244,1427.5447514957261,0.9242388982309143,376
25000,100.00000000003028,-1997286.714267509,166763.3125,-1830523.401767509,150.88007409043678,1427.5447514957261,0.9242388982309143,375
26000,104.00000000003517,-1990295.874423759,171981.53125,-1818314.343173759,155.60128776637708,1427.5447514957261,0.9242388982309143,375
27000,108.00000000004006,-1983734.104892509,179433.03125,-1804301.073642509,162.34307560466368,1427.5447514957261,0.9242388982309143,375
28000,112.00000000004495,-1974970.386142509,186191.953125,-1788778.433017509,168.45824936790657,1427.5447514957261,0.9242388982309143,373
29000,116.00000000004984,-1967558.507236259,193040.640625,-1774517.866611259,174.65463910094363,1427.5447514957261,0.9242388982309143,373
30000,120.00000000005473,-1959316.679111259,198702.84375,-1760613.835361259,179.777550214952,1427.5447514957261,0.9242388982309143,371
31000,124.00000000005961,-1951297.024814384,206124.015625,-1745173.009189384,186.49189850626374,1427.5447514957261,0.9242388982309143,371
32000,128.0000000000645,-1942013.431064384,211745.15625,-1730268.274814384,191.57765808526446,1427.5447514957261,0.9242388982309143,371
33000,132.00000000005517,-1930838.524814384,218619.65625,-1712218.868564384,197.79740182737027,1427.5447514957261,0.9242388982309143,369
34000,136.00000000004584,-1919555.331455009,225434.25,-1694121.081455009,203.9629450423758,1427.5447514957261,0.9242388982309143,369
35000,140.00000000003652,-1905640.272861259,232096.25,-1673544.022861259,209.99042817713598,1427.5447514957261,0.9242388982309143,368
36000,144.0000000000272,-1891452.132236259,236709.75,-1654742.382236259,214.16451905708436,1427.5447514957261,0.9242388982309143,367
37000,148.00000000001788,-1875767.038486259,245928.125,-1629838.913486259,222.50489729821234,1427.5447514957261,0.9242388982309143,367
38000,152.00000000000855,-1859646.979892509,250853.875,-1608793.104892509,226.9614981764839,1427.5447514957261,0.9242388982309143,366
39000,155.99999999999923,-1844549.942783134,258483.5,-1586066.442783134,233.86444564151608,1427.5447514957261,0.9242388982309143,366
40000,159.9999999999899,-1826760.046298759,264502.1875,-1562257.858798759,239.3098880611561,1427.5447514957261,0.9242388982309143,365
41000,163.9999999999806,-1810684.028720634,271243.375,-1539440.653720634,245.40901654577127,1427.5447514957261,0.9242388982309143,365
42000,167.99999999997127,-1793917.784580009,278763.78125,-1515154.003330009,252.21314771335156,1427.5447514957261,0.9242388982309143,365
43000,171.99999999996194,-1781509.210361259,285792.75,-1495716.460361259,258.57264795282634,1427.5447514957261,0.9242388982309143,364
44000,175.99999999995262,-1766643.444736259,292891.0625,-1473752.382236259,264.9948873522571,1427.5447514957261,0.9242388982309143,363
45000,179.9999999999433,-1754653.481845634,299330.21875,-1455323.263095634,270.82075131187287,1427.5447514957261,0.9242388982309143,363
46000,183.99999999993398,-1740039.257236259,306411.375,-1433627.882236259,277.2274684946223,1427.5447514957261,0.9242388982309143,363
47000,187.99999999992465,-1726162.128330009,311302.0,-1414860.128330009,281.6522898254443,1427.5447514957261,0.9242388982309143,362
48000,191.99999999991533,-1712287.727939384,318368.4375,-1393919.290439384,288.0456901337732,1427.5447514957261,0.9242388982309143,361
49000,195.999999999906,-1698723.911533134,326113.9375,-1372609.974033134,295.05347617704626,1427.5447514957261,0.9242388982309143,361
50000,199.9999999998967,-1685292.923251884,333766.75,-1351526.173251884,301.9774026671741,1427.5447514957261,0.9242388982309143,360
51000,203.99999999988736,-1682150.282626884,331266.84375,-1350883.438876884,299.71559798984646,1427.5447514957261,0.9242388982309143,360
52000,207.99999999987804,-1681135.921298759,334214.0625,-1346921.858798759,302.3821112456366,1427.5447514957261,0.9242388982309143,360
53000,211.99999999986872,-1682835.731845634,334075.5,-1348760.231845634,302.2567460201998,1427.5447514957261,0.9242388982309143,359
54000,215.9999999998594,-1679982.177158134,333603.75,-1346378.427158134,301.8299274718925,1427.5447514957261,0.9242388982309143,359
55000,219.99999999985008,-1682288.370517509,332226.9375,-1350061.433017509,300.5842483780052,1427.5447514957261,0.9242388982309143,358
56000,223.99999999984075,-1680963.669345634,332336.9375,-1348626.731845634,300.6837715159253,1427.5447514957261,0.9242388982309143,358
57000,227.99999999983143,-1684361.595126884,333677.15625,-1350684.438876884,301.8963422022829,1427.5447514957261,0.9242388982309143,358
58000,231.9999999998221,-1681441.702548759,331573.46875,-1349868.233798759,299.9930187367987,1427.5447514957261,0.9242388982309143,357
