#"Step","Time (ps)","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)","Box Volume (nm^3)","Density (g/mL)","Speed (ns/day)"
1000,4.000000000000003,-2039706.5231754184,7934.276560850087,-2031772.2466145684,7.405539580191922,1392.4536302647998,0.9183545242390345,0
2000,7.999999999999562,-2039900.0231754184,13407.475803453686,-2026492.5473719647,12.514007039137514,1392.4536302647998,0.9183545242390345,248
3000,11.999999999999122,-2037020.0231754184,19669.168074209156,-2017350.8551012091,18.358422669778605,1392.4536302647998,0.9183545242390345,321
4000,15.999999999998682,-2033249.0231754184,26178.614312204227,-2007070.408863214,24.434082043497114,1392.4536302647998,0.9183545242390345,356
5000,20.000000000000018,-2029768.5231754184,32416.181366186676,-1997352.3418092318,30.255980152052462,1392.4536302647998,0.9183545242390345,376
6000,24.000000000001354,-2025961.0231754184,38764.38743487269,-1987196.6357405456,36.181144336124206,1392.4536302647998,0.9183545242390345,386
7000,28.00000000000269,-2021822.5231754184,45487.35226734555,-1976335.1709080727,42.45609351155122,1392.4536302647998,0.9183545242390345,394
8000,32.00000000000402,-2018223.5231754184,51844.85111334925,-1966378.6720620692,48.38993120601905,1392.4536302647998,0.9183545242390345,399
9000,36.000000000001805,-2013876.5231754184,57993.52539602979,-1955882.9977793887,54.128860321595575,1392.4536302647998,0.9183545242390345,403
10000,39.99999999999959,-2009345.0231754184,65019.44255613448,-1944325.580619284,60.68657320408303,1392.4536302647998,0.9183545242390345,406
11000,43.99999999999737,-2004713.0231754184,71375.07718745328,-1933337.945987965,66.61867091437851,1392.4536302647998,0.9183545242390345,408
12000,47.999999999995154,-2001117.5231754184,77411.70918979139,-1923705.813985627,72.25302420185434,1392.4536302647998,0.9183545242390345,410
13000,51.99999999999294,-1995981.5231754184,83514.97728689338,-1912466.545888525,77.9495729816928,1392.4536302647998,0.9183545242390345,412
14000,55.99999999999072,-1992107.0231754184,90759.23756494289,-1901347.7856104756,84.71107868506341,1392.4536302647998,0.9183545242390345,413
