#"Step","Time (ps)","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)","Box Volume (nm^3)","Density (g/mL)","Speed (ns/day)"
1000,4.000000000000003,-2039794.0231754184,7727.226452857273,-2032066.7967225611,7.2122872076454945,1392.4536302647998,0.9183545242390345,0
2000,7.999999999999562,-2039782.5231754184,13369.975243420537,-2026412.5479319978,12.479005501256271,1392.4536302647998,0.9183545242390345,258
3000,11.999999999999122,-2036630.0231754184,19525.35199628942,-2017104.671179129,18.224190437118885,1392.4536302647998,0.9183545242390345,335
4000,15.999999999998682,-2032814.0231754184,26023.89005155622,-2006790.133123862,24.28966854499386,1392.4536302647998,0.9183545242390345,371
5000,20.000000000000018,-2029222.0231754184,32282.444330262588,-1996939.578845156,30.1311552981067,1392.4536302647998,0.9183545242390345,391
6000,24.000000000001354,-2025617.0231754184,38790.55856864015,-1986826.4646067782,36.20557143612343,1392.4536302647998,0.9183545242390345,403
7000,28.00000000000269,-2022627.0231754184,45406.944923665695,-1977220.0782517528,42.381044480730004,1392.4536302647998,0.9183545242390345,410
8000,32.00000000000402,-2019095.0231754184,51945.74123778079,-1967149.2819376376,48.484098053367795,1392.4536302647998,0.9183545242390345,415
9000,36.000000000001805,-2014636.0231754184,58159.769082054576,-1956476.2540933639,54.28402559562802,1392.4536302647998,0.9183545242390345,419
10000,39.99999999999959,-2010523.0231754184,64599.29893433316,-1945923.7242410851,60.29442778329353,1392.4536302647998,0.9183545242390345,422
11000,43.99999999999737,-2006114.5231754184,70563.31322641126,-1935551.209949007,65.86100257534774,1392.4536302647998,0.9183545242390345,424
12000,47.999999999995154,-2002105.5231754184,77601.69155958829,-1924503.83161583,72.43034622337446,1392.4536302647998,0.9183545242390345,426
13000,51.99999999999294,-1998102.0231754184,83698.43822783465,-1914403.5849475837,78.12080815973835,1392.4536302647998,0.9183545242390345,427
14000,55.99999999999072,-1993400.0231754184,90347.65734996746,-1903052.365825451,84.32692600913276,1392.4536302647998,0.9183545242390345,428
15000,59.9999999999885,-1989181.0231754184,96882.65876223733,-1892298.364413181,90.42643757064928,1392.4536302647998,0.9183545242390345,428
16000,63.99999999998629,-1983856.0231754184,103032.18490533947,-1880823.8382700789,96.16616177901348,1392.4536302647998,0.9183545242390345,429
17000,67.99999999999118,-1980321.5231754184,109208.54044996263,-1871112.9827254557,101.93092748843364,1392.4536302647998,0.9183545242390345,429
18000,71.99999999999606,-1974184.0231754184,116073.57760431014,-1858110.4455711083,108.33848134367278,1392.4536302647998,0.9183545242390345,429
19000,76.00000000000095,-1970045.5231754184,122620.1557095348,-1847425.3674658835,114.44879813200828,1392.4536302647998,0.9183545242390345,429
20000,80.00000000000584,-1963767.0231754184,128605.0953682561,-1835161.9278071623,120.03490383273675,1392.4536302647998,0.9183545242390345,429
21000,84.00000000001073,-1958910.0231754184,135699.61758482293,-1823210.4055905954,126.65664995847395,1392.4536302647998,0.9183545242390345,429
22000,88.00000000001562,-1953842.5231754184,141310.38142349437,-1812532.141751924,131.8935147644493,1392.4536302647998,0.9183545242390345,429
23000,92.0000000000205,-1947876.0231754184,147773.07834306208,-1800102.9448323562,137.9255401754107,1392.4536302647998,0.9183545242390345,429
24000,96.0000000000254,-1941242.0231754184,155124.29846537957,-1786117.7247100389,144.78687796229175,1392.4536302647998,0.9183545242390345,429
