#"Step","Time (ps)","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)","Box Volume (nm^3)","Density (g/mL)","Speed (ns/day)"
1000,4.000000000000003,-2039510.0231754184,7651.733448300284,-2031858.289727118,7.141825026375815,1392.4536302647998,0.9183545242390345,0
2000,7.999999999999562,-2039163.0231754184,13352.342580304048,-2025810.6805951144,12.462547871677582,1392.4536302647998,0.9183545242390345,253
3000,11.999999999999122,-2035854.0231754184,19584.002833881583,-2016270.0203415367,18.278932806617743,1392.4536302647998,0.9183545242390345,326
4000,15.999999999998682,-2032043.5231754184,26124.396999529665,-2005919.1261758888,24.383477750608677,1392.4536302647998,0.9183545242390345,360
5000,20.000000000000018,-2028855.5231754184,32429.897372844982,-1996425.6258025733,30.268782129575083,1392.4536302647998,0.9183545242390345,378
6000,24.000000000001354,-2025097.0231754184,38726.351920632944,-1986370.6712547855,36.1456434931683,1392.4536302647998,0.9183545242390345,390
7000,28.00000000000269,-2021196.0231754184,45318.947929363996,-1975877.0752460544,42.29891157053443,1392.4536302647998,0.9183545242390345,398
8000,32.00000000000402,-2017767.0231754184,51797.478838189956,-1965969.5443372284,48.34571580011463,1392.4536302647998,0.9183545242390345,403
9000,36.000000000001805,-2014062.0231754184,58626.5864356083,-1955435.43673981,54.71973442956513,1392.4536302647998,0.9183545242390345,407
10000,39.99999999999959,-2009989.0231754184,64407.542944259985,-1945581.4802311584,60.11545033483493,1392.4536302647998,0.9183545242390345,410
11000,43.99999999999737,-2006103.5231754184,71034.87496585152,-1935068.648209567,66.30113963121498,1392.4536302647998,0.9183545242390345,413
12000,47.999999999995154,-2001690.5231754184,77410.01461997877,-1924280.5085554395,72.2514425574886,1392.4536302647998,0.9183545242390345,414
13000,51.99999999999294,-1997093.0231754184,83939.42847169736,-1913153.594703721,78.34573891122884,1392.4536302647998,0.9183545242390345,416
14000,55.99999999999072,-1992780.0231754184,89972.87381377042,-1902807.149361648,83.97711789619069,1392.4536302647998,0.9183545242390345,417
15000,59.9999999999885,-1988611.0231754184,96837.00276676967,-1891774.0204086488,90.38382407225208,1392.4536302647998,0.9183545242390345,417
16000,63.99999999998629,-1983676.0231754184,103142.29397048923,-1880533.7292049292,96.26893322059999,1392.4536302647998,0.9183545242390345,418
17000,67.99999999999118,-1978571.5231754184,109557.46482879779,-1869014.0583466205,102.25659968780059,1392.4536302647998,0.9183545242390345,419
18000,71.99999999999606,-1972775.0231754184,115743.34121802406,-1857031.6819573944,108.0302517765906,1392.4536302647998,0.9183545242390345,419
19000,76.00000000000095,-1968761.0231754184,122743.74762978053,-1846017.2755456378,114.56415393668085,1392.4536302647998,0.9183545242390345,419
20000,80.00000000000584,-1964162.0231754184,128468.22476409657,-1835693.7984113218,119.90715423027524,1392.4536302647998,0.9183545242390345,419
21000,84.00000000001073,-1958780.0231754184,136102.73534188687,-1822677.2878335314,127.03290411126534,1392.4536302647998,0.9183545242390345,420
22000,88.00000000001562,-1952824.0231754184,142296.7733030367,-1810527.2498723818,132.81417388812721,1392.4536302647998,0.9183545242390345,420
23000,92.0000000000205,-1948098.0231754184,148116.14620682635,-1799981.876968592,138.24574613550217,1392.4536302647998,0.9183545242390345,420
24000,96.0000000000254,-1940735.0231754184,154216.0978341472,-1786518.925341271,143.9391994537642,1392.4536302647998,0.9183545242390345,421
25000,100.00000000003028,-1935154.0231754184,160704.10658736713,-1774449.9165880512,149.99484992802167,1392.4536302647998,0.9183545242390345,421
26000,104.00000000003517,-1928879.0231754184,167589.71540542063,-1761289.3077699977,156.42160455961854,1392.4536302647998,0.9183545242390345,421
27000,108.00000000004006,-1921051.0231754184,174059.40824296992,-1746991.6149324484,162.460159683417,1392.4536302647998,0.9183545242390345,420
