#"Step","Time (ps)","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)","Box Volume (nm^3)","Density (g/mL)","Speed (ns/day)"
1000,4.000000000000003,-2040191.0231754184,7853.093824846741,-2032337.9293505717,7.329766828878016,1392.4536302647998,0.9183545242390345,0
2000,7.999999999999562,-2039637.5231754184,13175.043847031284,-2026462.4793283872,12.297064254274073,1392.4536302647998,0.9183545242390345,188
3000,11.999999999999122,-2036670.0231754184,19549.327989246085,-2017120.6951861724,18.24656867960303,1392.4536302647998,0.9183545242390345,227
4000,15.999999999998682,-2033257.5231754184,25887.72452854161,-2007369.7986468768,24.162577037354982,1392.4536302647998,0.9183545242390345,244
5000,20.000000000000018,-2029409.5231754184,32546.49738878563,-1996863.0257866327,30.3776119676173,1392.4536302647998,0.9183545242390345,254
6000,24.000000000001354,-2026371.5231754184,39192.20159393659,-1987179.3215814817,36.58044913267578,1392.4536302647998,0.9183545242390345,259
7000,28.00000000000269,-2022790.0231754184,45508.276862249535,-1977281.746313169,42.47562369991464,1392.4536302647998,0.9183545242390345,261
8000,32.00000000000402,-2019188.0231754184,52109.42150551204,-1967078.6016699064,48.636870734264896,1392.4536302647998,0.9183545242390345,264
9000,36.000000000001805,-2015414.5231754184,58218.38587963008,-1957196.1372957884,54.33873619352316,1392.4536302647998,0.9183545242390345,266
10000,39.99999999999959,-2011412.0231754184,64700.63484253637,-1946711.388332882,60.389010707563706,1392.4536302647998,0.9183545242390345,265
11000,43.99999999999737,-2007141.0231754184,71001.31304412305,-1936139.7101312953,66.26981426237494,1392.4536302647998,0.9183545242390345,267
12000,47.999999999995154,-2002998.5231754184,77874.52550651963,-1925123.9976688987,72.68499862644163,1392.4536302647998,0.9183545242390345,267
13000,51.99999999999294,-1998105.0231754184,83943.46097410847,-1914161.56220131,78.34950268931038,1392.4536302647998,0.9183545242390345,268
14000,55.99999999999072,-1994272.5231754184,90891.27695464299,-1903381.2462207754,84.83431902324288,1392.4536302647998,0.9183545242390345,267
15000,59.9999999999885,-1989658.0231754184,96503.16511314828,-1893154.85806227,90.07223322483313,1392.4536302647998,0.9183545242390345,267
16000,63.99999999998629,-1984192.0231754184,102347.73859766549,-1881844.284577753,95.52732669642937,1392.4536302647998,0.9183545242390345,267
17000,67.99999999999118,-1979874.5231754184,109533.07382067956,-1870341.449354739,102.23383408659738,1392.4536302647998,0.9183545242390345,266
18000,71.99999999999606,-1974750.5231754184,116329.25890652579,-1858421.2642688926,108.57712414733001,1392.4536302647998,0.9183545242390345,266
19000,76.00000000000095,-1969240.5231754184,121772.72074074336,-1847467.802434675,113.65783588675585,1392.4536302647998,0.9183545242390345,268
20000,80.00000000000584,-1964107.0231754184,128768.6689171129,-1835338.3542583054,120.18757690646204,1392.4536302647998,0.9183545242390345,267
21000,84.00000000001073,-1958933.0231754184,134698.95413846552,-1824234.069036953,125.72267031942074,1392.4536302647998,0.9183545242390345,269
22000,88.00000000001562,-1953649.0231754184,142038.55539528624,-1811610.467780132,132.573163517302,1392.4536302647998,0.9183545242390345,267
23000,92.0000000000205,-1947051.0231754184,147652.8572911468,-1799398.1658842715,137.8133306057665,1392.4536302647998,0.9183545242390345,267
24000,96.0000000000254,-1941268.5231754184,154364.62679041002,-1786903.8963850085,144.07783050046055,1392.4536302647998,0.9183545242390345,268
25000,100.00000000003028,-1934964.5231754184,161249.02027095135,-1773715.502904467,150.50345078414546,1392.4536302647998,0.9183545242390345,267
26000,104.00000000003517,-1929519.5231754184,167586.79106127884,-1761932.7321141395,156.41887509258748,1392.4536302647998,0.9183545242390345,267
27000,108.00000000004006,-1921629.5231754184,174132.0612385778,-1747497.4619368406,162.5279711127852,1392.4536302647998,0.9183545242390345,268
28000,112.00000000004495,-1915057.5231754184,180311.43710203175,-1734746.0860733867,168.29555586821095,1392.4536302647998,0.9183545242390345,266
29000,116.00000000004984,-1906898.0231754184,186841.97465956645,-1720056.0485158518,174.39090104446626,1392.4536302647998,0.9183545242390345,266
30000,120.00000000005473,-1898676.0231754184,192685.50949546503,-1705990.5136799533,179.8450250825677,1392.4536302647998,0.9183545242390345,267
31000,124.00000000005961,-1890989.0231754184,199344.49563637568,-1691644.5275390428,186.0602590805593,1392.4536302647998,0.9183545242390345,265
32000,128.0000000000645,-1880694.0231754184,206556.44493556843,-1674137.57823985,192.79160699563462,1392.4536302647998,0.9183545242390345,266
33000,132.00000000005517,-1871769.0231754184,212161.063392623,-1659607.9597827953,198.0227359457383,1392.4536302647998,0.9183545242390345,264
34000,136.00000000004584,-1858727.0231754184,218340.22622446503,-1640386.7969509533,203.79012186589256,1392.4536302647998,0.9183545242390345,264
35000,140.00000000003652,-1847091.0231754184,224274.66542996166,-1622816.3577454567,209.3290924431722,1392.4536302647998,0.9183545242390345,264
36000,144.0000000000272,-1833233.0231754184,231361.4654141085,-1601871.55776131,215.94363094293428,1392.4536302647998,0.9183545242390345,263
37000,148.00000000001788,-1816404.0231754184,237848.26908499346,-1578555.7540904249,221.99815664105614,1392.4536302647998,0.9183545242390345,263
