#"Step","Time (ps)","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)","Box Volume (nm^3)","Density (g/mL)","Speed (ns/day)"
1000,4.000000000000003,-841004.821887977,3230.4008816350615,-837774.4210063419,7.265327557012312,587.0833801128022,0.9034914571479512,0
2000,7.999999999999562,-840994.321887977,5514.11616565564,-835480.2057223213,12.401513495943496,587.0833801128022,0.9034914571479512,652
3000,11.999999999999122,-839432.571887977,8034.392062156503,-831398.1798258205,18.069735674255227,587.0833801128022,0.9034914571479512,554
4000,15.999999999998682,-838108.821887977,10814.601991872682,-827294.2198961043,24.32256204372503,587.0833801128022,0.9034914571479512,584
5000,20.000000000000018,-836389.821887977,13420.618386698865,-822969.2035012781,30.183618742599307,587.0833801128022,0.9034914571479512,582
6000,24.000000000001354,-834978.821887977,16074.655139588867,-818904.1667483881,36.1526755453375,587.0833801128022,0.9034914571479512,610
7000,28.00000000000269,-833263.821887977,18671.33697804506,-814592.4849099319,41.992738376233056,587.0833801128022,0.9034914571479512,621
8000,32.00000000000402,-831599.321887977,21512.806419934997,-810086.515468042,48.383340346389254,587.0833801128022,0.9034914571479512,619
9000,36.000000000001805,-830054.821887977,24020.480082448594,-806034.3418055284,54.023219491986964,587.0833801128022,0.9034914571479512,633
10000,39.99999999999959,-828163.321887977,26793.961566374404,-801369.3603216026,60.26091326200308,587.0833801128022,0.9034914571479512,635
11000,43.99999999999737,-826557.321887977,29409.595471710825,-797147.7264162662,66.14360020637942,587.0833801128022,0.9034914571479512,633
12000,47.999999999995154,-824512.571887977,31986.071582051572,-792526.5003059254,71.93821937914537,587.0833801128022,0.9034914571479512,641
13000,51.99999999999294,-822815.571887977,34708.17886969386,-788107.3930182831,78.06037010120728,587.0833801128022,0.9034914571479512,640
14000,55.99999999999072,-820972.321887977,37606.094571819995,-783366.227316157,84.57792243604293,587.0833801128022,0.9034914571479512,638
15000,59.9999999999885,-819023.321887977,40084.75151615136,-778938.5703718256,90.15254158142767,587.0833801128022,0.9034914571479512,644
16000,63.99999999998629,-817791.821887977,43206.80340727113,-774585.0184807058,97.17418702733097,587.0833801128022,0.9034914571479512,644
17000,67.99999999999118,-815529.321887977,45571.481627086054,-769957.8402608909,102.49246251801635,587.0833801128022,0.9034914571479512,639
18000,71.99999999999606,-813437.321887977,48465.96839606107,-764971.3534919159,109.00230301663514,587.0833801128022,0.9034914571479512,643
19000,76.00000000000095,-811295.821887977,50406.1812644857,-760889.6406234913,113.3659354374821,587.0833801128022,0.9034914571479512,643
20000,80.00000000000584,-809719.321887977,53177.04523818381,-756542.2766497931,119.59774230061424,587.0833801128022,0.9034914571479512,638
21000,84.00000000001073,-807547.571887977,56628.27269077979,-750919.2991971972,127.35971947793959,587.0833801128022,0.9034914571479512,642
