#"Step","Time (ps)","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)","Box Volume (nm^3)","Density (g/mL)","Speed (ns/day)"
1000,4.000000000000003,-2039900.5231754184,7753.878719761409,-2032146.6444556569,7.237163378263786,1392.4536302647998,0.9183545242390345,0
2000,7.999999999999562,-2039216.0231754184,13323.083751845978,-2025892.9394235725,12.435238839712975,1392.4536302647998,0.9183545242390345,460
3000,11.999999999999122,-2036165.0231754184,19652.982756872036,-2016512.0404185464,18.343315935441986,1392.4536302647998,0.9183545242390345,327
4000,15.999999999998682,-2032934.5231754184,26033.788321940112,-2006900.7348534781,24.298907198643146,1392.4536302647998,0.9183545242390345,360
5000,20.000000000000018,-2028981.0231754184,32483.110338563725,-1996497.9128368546,30.318449004782586,1392.4536302647998,0.9183545242390345,379
6000,24.000000000001354,-2025129.0231754184,38884.87991675192,-1986244.1432586664,36.29360724774933,1392.4536302647998,0.9183545242390345,392
7000,28.00000000000269,-2021111.0231754184,45250.1657627025,-1975860.857412716,42.23471301963737,1392.4536302647998,0.9183545242390345,399
8000,32.00000000000402,-2016970.0231754184,51553.16246084709,-1965416.8607145713,48.11768056733371,1392.4536302647998,0.9183545242390345,403
9000,36.000000000001805,-2012985.0231754184,58316.70699890476,-1954668.3161765137,54.43050523317955,1392.4536302647998,0.9183545242390345,408
10000,39.99999999999959,-2009365.0231754184,64654.896892701436,-1944710.1262827169,60.34632071620511,1392.4536302647998,0.9183545242390345,411
11000,43.99999999999737,-2005086.0231754184,70805.55846322609,-1934280.4647121923,66.08710468756765,1392.4536302647998,0.9183545242390345,413
12000,47.999999999995154,-2001189.0231754184,77602.57679116761,-1923586.4463842507,72.4311724634794,1392.4536302647998,0.9183545242390345,415
13000,51.99999999999294,-1996788.0231754184,83820.69537638457,-1912967.3277990338,78.23491814136102,1392.4536302647998,0.9183545242390345,416
14000,55.99999999999072,-1992418.5231754184,90498.70879692945,-1901919.8143784888,84.46791144876842,1392.4536302647998,0.9183545242390345,417
15000,59.9999999999885,-1987870.0231754184,96446.2793863795,-1891423.7437890389,90.01913833988635,1392.4536302647998,0.9183545242390345,418
16000,63.99999999998629,-1983196.0231754184,103223.6359720472,-1879972.3872033712,96.34485462407636,1392.4536302647998,0.9183545242390345,418
17000,67.99999999999118,-1978419.0231754184,109194.77901004301,-1869224.2441653754,101.91808310530386,1392.4536302647998,0.9183545242390345,419
18000,71.99999999999606,-1973007.0231754184,115897.36103595042,-1857109.662139468,108.17400777615026,1392.4536302647998,0.9183545242390345,420
19000,76.00000000000095,-1967552.0231754184,122287.23237375103,-1845264.7908016674,114.13806067265608,1392.4536302647998,0.9183545242390345,420
20000,80.00000000000584,-1961916.5231754184,129260.1874076561,-1832656.3357677623,120.64634080361108,1392.4536302647998,0.9183545242390345,421
21000,84.00000000001073,-1956982.0231754184,135149.0503743151,-1821832.9728011033,126.14277232417395,1392.4536302647998,0.9183545242390345,421
22000,88.00000000001562,-1950490.0231754184,141795.66816077955,-1808694.3550146387,132.34646218985674,1392.4536302647998,0.9183545242390345,421
