#"Step","Time (ps)","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)","Box Volume (nm^3)","Density (g/mL)","Speed (ns/day)"
1000,4.000000000000003,-2040284.0231754184,7764.867737247169,-2032519.1554381712,7.247420092069272,1392.4536302647998,0.9183545242390345,0
2000,7.999999999999562,-2040048.0231754184,13314.646710334533,-2026733.3764650838,12.42736403923513,1392.4536302647998,0.9183545242390345,457
3000,11.999999999999122,-2036822.0231754184,19510.246772049653,-2017311.7764033687,18.210091818912506,1392.4536302647998,0.9183545242390345,328
4000,15.999999999998682,-2032761.0231754184,25907.470932445976,-2006853.5522429724,24.181007548890438,1392.4536302647998,0.9183545242390345,359
5000,20.000000000000018,-2029270.5231754184,32532.44884881316,-1996738.0743266053,30.364499616666066,1392.4536302647998,0.9183545242390345,378
6000,24.000000000001354,-2025601.0231754184,38882.26971808744,-1986718.7534573309,36.29117099166805,1392.4536302647998,0.9183545242390345,389
7000,28.00000000000269,-2021807.0231754184,45091.69688856894,-1976715.3262868493,42.08680444717657,1392.4536302647998,0.9183545242390345,397
8000,32.00000000000402,-2017589.5231754184,51784.82831175077,-1965804.6948636677,48.333908299640306,1392.4536302647998,0.9183545242390345,403
9000,36.000000000001805,-2013161.0231754184,57835.83670253507,-1955325.1864728832,53.981679938851414,1392.4536302647998,0.9183545242390345,406
10000,39.99999999999959,-2009722.0231754184,64822.5630510156,-1944899.4601244028,60.50281366954896,1392.4536302647998,0.9183545242390345,410
11000,43.99999999999737,-2005443.0231754184,70963.2085712384,-1934479.81460418,66.23424905615035,1392.4536302647998,0.9183545242390345,412
12000,47.999999999995154,-2001219.0231754184,77459.93171067476,-1923759.0914647437,72.2980331934517,1392.4536302647998,0.9183545242390345,414
13000,51.99999999999294,-1997784.5231754184,84092.26954508481,-1913692.2536303336,78.48839471730885,1392.4536302647998,0.9183545242390345,415
14000,55.99999999999072,-1994081.0231754184,90034.30097958469,-1904046.7221958337,84.03445158052195,1392.4536302647998,0.9183545242390345,416
15000,59.9999999999885,-1989261.0231754184,96389.71236026355,-1892871.3108151548,89.96634091750983,1392.4536302647998,0.9183545242390345,416
16000,63.99999999998629,-1984198.0231754184,103352.75618522271,-1880845.2669901957,96.46537031847404,1392.4536302647998,0.9183545242390345,417
17000,67.99999999999118,-1978617.0231754184,109201.80733572834,-1869415.21583969,101.92464306620843,1392.4536302647998,0.9183545242390345,418
18000,71.99999999999606,-1974108.0231754184,116501.20196980407,-1857606.8212056144,108.73760899442112,1392.4536302647998,0.9183545242390345,418
19000,76.00000000000095,-1968364.5231754184,122780.10371569241,-1845584.419459726,114.59808726773335,1392.4536302647998,0.9183545242390345,419
20000,80.00000000000584,-1963068.0231754184,129114.86670342338,-1833953.156471995,120.51070421232727,1392.4536302647998,0.9183545242390345,419
21000,84.00000000001073,-1958052.5231754184,135645.80421481954,-1822406.7189605988,126.60642268968047,1392.4536302647998,0.9183545242390345,419
22000,88.00000000001562,-1953012.0231754184,142395.5939359333,-1810616.429239485,132.90640915401985,1392.4536302647998,0.9183545242390345,420
23000,92.0000000000205,-1947713.0231754184,148081.88133160083,-1799631.1418438177,138.21376465770177,1392.4536302647998,0.9183545242390345,420
24000,96.0000000000254,-1940010.0231754184,155557.38391278748,-1784452.6392626308,145.1911027706643,1392.4536302647998,0.9183545242390345,420
25000,100.00000000003028,-1935181.0231754184,161340.88259943316,-1773840.1405759852,150.58919144421486,1392.4536302647998,0.9183545242390345,420
26000,104.00000000003517,-1929103.5231754184,167743.65632544688,-1761359.8668499715,156.5652869190022,1392.4536302647998,0.9183545242390345,420
27000,108.00000000004006,-1921992.5231754184,173964.68098141032,-1748027.8421940082,162.37174500825128,1392.4536302647998,0.9183545242390345,420
28000,112.00000000004495,-1913397.0231754184,180643.468531722,-1732753.5546436964,168.60546085773092,1392.4536302647998,0.9183545242390345,420
29000,116.00000000004984,-1908819.0231754184,186274.5022227061,-1722544.5209527123,173.86124474125984,1392.4536302647998,0.9183545242390345,420
30000,120.00000000005473,-1899136.0231754184,192970.62170995027,-1706165.401465468,180.11113753440543,1392.4536302647998,0.9183545242390345,419
31000,124.00000000005961,-1891276.0231754184,199599.87009972607,-1691676.1530756922,186.2986154929691,1392.4536302647998,0.9183545242390345,418
32000,128.0000000000645,-1881600.0231754184,206687.36535172162,-1674912.6578236967,192.9138029282117,1392.4536302647998,0.9183545242390345,418
33000,132.00000000005517,-1870938.0231754184,211916.46092603877,-1659021.5622493797,197.7944336885873,1392.4536302647998,0.9183545242390345,417
34000,136.00000000004584,-1858167.0231754184,218276.45804223872,-1639890.5651331795,203.73060316953607,1392.4536302647998,0.9183545242390345,417
35000,140.00000000003652,-1846381.0231754184,225018.39392588046,-1621362.6292495378,210.0232591729557,1392.4536302647998,0.9183545242390345,417
36000,144.0000000000272,-1831914.5231754184,232278.91144113996,-1599635.6117342785,216.7999387378246,1392.4536302647998,0.9183545242390345,416
37000,148.00000000001788,-1816363.0231754184,239169.98473007532,-1577193.038445343,223.23179369017407,1392.4536302647998,0.9183545242390345,416
38000,152.00000000000855,-1801610.0231754184,244239.89416444045,-1557370.129010978,227.96384641057443,1392.4536302647998,0.9183545242390345,416
39000,155.99999999999923,-1784252.0231754184,249160.07322272437,-1535091.9499526941,232.55614672659078,1392.4536302647998,0.9183545242390345,415
40000,159.9999999999899,-1768780.5231754184,257251.00269521232,-1511529.520480206,240.10789993175396,1392.4536302647998,0.9183545242390345,415
41000,163.9999999999806,-1756041.0231754184,262129.6876095249,-1493911.3355658934,244.66147125676918,1392.4536302647998,0.9183545242390345,415
42000,167.99999999997127,-1738398.5231754184,269796.56386580906,-1468601.9593096094,251.81742998052997,1392.4536302647998,0.9183545242390345,414
43000,171.99999999996194,-1727501.5231754184,276782.71589288465,-1450718.8072825337,258.3380276623687,1392.4536302647998,0.9183545242390345,414
44000,175.99999999995262,-1714765.0231754184,283244.44303525856,-1431520.58014016,264.3691479216962,1392.4536302647998,0.9183545242390345,414
45000,179.9999999999433,-1698407.0231754184,290432.5667848519,-1407974.4563905664,271.0782580121602,1392.4536302647998,0.9183545242390345,413
46000,183.99999999993398,-1688343.0231754184,295317.7990347846,-1393025.2241406338,275.6379403609981,1392.4536302647998,0.9183545242390345,413
47000,187.99999999992465,-1672281.0231754184,301134.24202013825,-1371146.78115528,281.06677793851645,1392.4536302647998,0.9183545242390345,413
48000,191.99999999991533,-1660137.0231754184,309295.4627752424,-1350841.5604001759,288.6841382436546,1392.4536302647998,0.9183545242390345,413
49000,195.999999999906,-1647114.0231754184,315168.7310203194,-1331945.292155099,294.16601426857375,1392.4536302647998,0.9183545242390345,412
50000,199.9999999998967,-1632921.0231754184,319807.9055975703,-1313113.117577848,298.4960361285089,1392.4536302647998,0.9183545242390345,412
51000,203.99999999988736,-1631029.0231754184,322183.74670788605,-1308845.2764675324,300.7135521482436,1392.4536302647998,0.9183545242390345,412
52000,207.99999999987804,-1628487.8217328228,322932.2407906027,-1305555.58094222,301.4121668880483,1392.4536302647998,0.9183545242390345,386
53000,211.99999999986872,-1626096.6116415467,321982.2897124978,-1304114.321929049,300.52552016554006,1392.4536302647998,0.9183545242390345,384
54000,215.9999999998594,-1626221.7881739102,323118.51740032114,-1303103.2707735891,301.5860300998427,1392.4536302647998,0.9183545242390345,382
55000,219.99999999985008,-1626952.3406111822,321455.7984576085,-1305496.5421535736,300.0341140749148,1392.4536302647998,0.9183545242390345,379
56000,223.99999999984075,-1625470.7272174172,322588.56692037964,-1302882.1602970376,301.0913953055234,1392.4536302647998,0.9183545242390345,377
57000,227.99999999983143,-1624571.9636758901,322362.3060472033,-1302209.6576286869,300.8802123654147,1392.4536302647998,0.9183545242390345,376
58000,231.9999999998221,-1625521.7989437822,321061.18658683676,-1304460.6123569454,299.6657989795936,1392.4536302647998,0.9183545242390345,374
59000,235.9999999998128,-1624625.9813551046,324207.9440872823,-1300418.0372678223,302.6028578330499,1392.4536302647998,0.9183545242390345,372
60000,239.99999999980346,-1625095.8922834005,322024.24229533796,-1303071.6499880627,300.5646770452293,1392.4536302647998,0.9183545242390345,370
61000,243.99999999979414,-1627539.5259244014,323350.9224145698,-1304188.6035098315,301.802947737948,1392.4536302647998,0.9183545242390345,369
62000,247.99999999978482,-1627520.1915458832,322415.035041888,-1305105.1565039952,300.92942752122207,1392.4536302647998,0.9183545242390345,367
63000,251.9999999997755,-1627384.2830412965,322755.4121601014,-1304628.8708811952,301.2471220459578,1392.4536302647998,0.9183545242390345,366
64000,255.99999999976617,-1627049.0536269266,321051.3227693741,-1305997.7308575525,299.65659248293684,1392.4536302647998,0.9183545242390345,365
65000,259.99999999978525,-1627448.5401903894,321780.8768552227,-1305667.6633351666,300.3375293796038,1392.4536302647998,0.9183545242390345,363
66000,263.99999999980434,-1626112.865843987,320621.36666159844,-1305491.4991823887,299.25528847626924,1392.4536302647998,0.9183545242390345,362
67000,267.99999999982344,-1628465.542256249,322279.7398296284,-1306185.8024266209,300.80314832718153,1392.4536302647998,0.9183545242390345,361
68000,271.99999999984254,-1627253.470493095,321784.04750611796,-1305469.422986977,300.3404887396059,1392.4536302647998,0.9183545242390345,360
69000,275.99999999986164,-1629502.3540115654,323306.8915152244,-1306195.462496341,301.76185103992475,1392.4536302647998,0.9183545242390345,358
70000,279.99999999988074,-1624625.525433261,321680.2963498902,-1302945.2290833709,300.24365151846257,1392.4536302647998,0.9183545242390345,357
71000,283.99999999989984,-1626103.23620734,323260.1896447087,-1302843.0465626311,301.71826136316963,1392.4536302647998,0.9183545242390345,356
72000,287.99999999991894,-1627911.7888382133,323640.13810562843,-1304271.6507325848,302.0728902123401,1392.4536302647998,0.9183545242390345,355
73000,291.99999999993804,-1629379.4955121558,322975.63343914005,-1306403.862073016,301.4526678680392,1392.4536302647998,0.9183545242390345,354
74000,295.99999999995714,-1629738.7428240832,321437.32100034086,-1308301.4218237423,300.01686794792545,1392.4536302647998,0.9183545242390345,353
75000,299.99999999997624,-1629734.8545816652,321867.98736920615,-1307866.867212459,300.4188348841709,1392.4536302647998,0.9183545242390345,352
76000,303.99999999999534,-1628180.7733568158,323207.9055370126,-1304972.8678198033,301.6694614472619,1392.4536302647998,0.9183545242390345,351
77000,308.00000000001444,-1628185.1942555401,322378.3386309568,-1305806.8556245833,300.89517654427186,1392.4536302647998,0.9183545242390345,351
78000,312.00000000003354,-1628958.1022125818,323050.16932780796,-1305907.9328847737,301.52223671523546,1392.4536302647998,0.9183545242390345,350
79000,316.00000000005264,-1629065.435875386,321295.5601771785,-1307769.8756982074,299.88455400867736,1392.4536302647998,0.9183545242390345,349
