#"Step","Time (ps)","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)","Box Volume (nm^3)","Density (g/mL)","Speed (ns/day)"
1000,4.000000000000003,-778199.2295404421,2978.321749981191,-775220.907790461,7.150752005134566,551.8227173176247,0.9001333340440021,0
2000,7.999999999999562,-777974.7295404421,5180.39614596973,-772794.3333944724,12.437785853196813,551.8227173176247,0.9001333340440021,436
3000,11.999999999999122,-776916.4795404421,7660.293388385686,-769256.1861520564,18.391853837572768,551.8227173176247,0.9001333340440021,333
4000,15.999999999998682,-775442.7295404421,10215.038872763347,-765227.6906676787,24.525627461976313,551.8227173176247,0.9001333340440021,361
5000,20.000000000000018,-774302.2295404421,12612.344139731998,-761689.8854007102,30.2813976183753,551.8227173176247,0.9001333340440021,376
6000,24.000000000001354,-772931.9795404421,15141.298641182304,-757790.6808992599,36.35324881183822,551.8227173176247,0.9001333340440021,385
7000,28.00000000000269,-771217.7295404421,17579.608661230246,-753638.1208792119,42.20746864725648,551.8227173176247,0.9001333340440021,391
8000,32.00000000000402,-769921.2295404421,20284.095470125903,-749637.1340703162,48.70076121099401,551.8227173176247,0.9001333340440021,395
9000,36.000000000001805,-768230.7295404421,22611.76289159287,-745618.9666488492,54.289335541973,551.8227173176247,0.9001333340440021,398
10000,39.99999999999959,-766425.2295404421,25091.884858479432,-741333.3446819626,60.24394307482414,551.8227173176247,0.9001333340440021,400
11000,43.99999999999737,-764314.2295404421,27515.93235833312,-736798.297182109,66.06391954990768,551.8227173176247,0.9001333340440021,402
12000,47.999999999995154,-762864.7295404421,30246.994319847756,-732617.7352205943,72.6210172837475,551.8227173176247,0.9001333340440021,403
13000,51.99999999999294,-760772.2295404421,32674.508522149365,-728097.7210182927,78.4493170803395,551.8227173176247,0.9001333340440021,404
14000,55.99999999999072,-759455.4795404421,35052.458084098966,-724403.0214563431,84.15861547911973,551.8227173176247,0.9001333340440021,404
15000,59.9999999999885,-757921.2295404421,37683.35034022591,-720237.8792002161,90.47521242701885,551.8227173176247,0.9001333340440021,405
16000,63.99999999998629,-755864.9795404421,40167.309867243595,-715697.6696731985,96.43903368595672,551.8227173176247,0.9001333340440021,405
17000,67.99999999999118,-754073.9795404421,42868.359979523026,-711205.6195609191,102.92407497018769,551.8227173176247,0.9001333340440021,405
18000,71.99999999999606,-752395.4795404421,44915.73665108007,-707479.742889362,107.83968989308671,551.8227173176247,0.9001333340440021,405
19000,76.00000000000095,-750096.2295404421,47586.763722996344,-702509.4658174458,114.25264785855657,551.8227173176247,0.9001333340440021,406
20000,80.00000000000584,-748439.9795404421,49726.26097045402,-698713.7185699882,119.38943814400322,551.8227173176247,0.9001333340440021,406
21000,84.00000000001073,-746094.7295404421,53074.13166426978,-693020.5978761723,127.42745253142978,551.8227173176247,0.9001333340440021,406
22000,88.00000000001562,-744481.2295404421,55337.06203891002,-689144.1675015321,132.86059752795035,551.8227173176247,0.9001333340440021,406
23000,92.0000000000205,-742326.9795404421,58089.62012924967,-684237.3594111925,139.4693060342996,551.8227173176247,0.9001333340440021,406
24000,96.0000000000254,-739945.7295404421,59638.46292751259,-680307.2666129295,143.18797435661457,551.8227173176247,0.9001333340440021,406
25000,100.00000000003028,-737017.7295404421,62535.31632240105,-674482.4132180411,150.14312627134987,551.8227173176247,0.9001333340440021,406
26000,104.00000000003517,-735089.7295404421,65122.890943051825,-669966.8385973903,156.3557204637573,551.8227173176247,0.9001333340440021,406
27000,108.00000000004006,-732609.2295404421,67242.39662566636,-665366.8329147757,161.44451233453006,551.8227173176247,0.9001333340440021,406
28000,112.00000000004495,-729811.4795404421,70439.87712298946,-659371.6024174526,169.12144988426132,551.8227173176247,0.9001333340440021,406
29000,116.00000000004984,-727188.7295404421,72840.49298847726,-654348.2365519649,174.88516856704067,551.8227173176247,0.9001333340440021,405
30000,120.00000000005473,-723679.2295404421,75312.79154158768,-648366.4379988544,180.82099260487584,551.8227173176247,0.9001333340440021,405
31000,124.00000000005961,-720129.2295404421,76690.38318872778,-643438.8463517143,184.1284983278911,551.8227173176247,0.9001333340440021,405
32000,128.0000000000645,-717526.7295404421,80111.54246819543,-637415.1870722467,192.3424737245025,551.8227173176247,0.9001333340440021,404
33000,132.00000000005517,-712508.2295404421,83102.43986571097,-629405.7896747312,199.52341902115185,551.8227173176247,0.9001333340440021,404
34000,136.00000000004584,-708248.4795404421,85351.87123712728,-622896.6083033148,204.92415381069213,551.8227173176247,0.9001333340440021,403
35000,140.00000000003652,-703011.4795404421,88072.9061399762,-614938.5734004659,211.45717724501748,551.8227173176247,0.9001333340440021,403
36000,144.0000000000272,-698336.7295404421,90541.38068927347,-607795.3488511686,217.3838201045818,551.8227173176247,0.9001333340440021,403
37000,148.00000000001788,-691911.4795404421,92478.291373369,-599433.1881670731,222.03421355456754,551.8227173176247,0.9001333340440021,402
38000,152.00000000000855,-687340.7295404421,94343.24581141537,-592997.4837290267,226.51184485394913,551.8227173176247,0.9001333340440021,402
39000,155.99999999999923,-680632.7295404421,97536.77307617322,-583095.9564642688,234.17929095578933,551.8227173176247,0.9001333340440021,401
40000,159.9999999999899,-675426.2295404421,99621.42146842867,-575804.8080720134,239.18439279578206,551.8227173176247,0.9001333340440021,401
41000,163.9999999999806,-670154.7295404421,102616.25718423404,-567538.4723562081,246.37479373214128,551.8227173176247,0.9001333340440021,400
42000,167.99999999997127,-665395.4795404421,105190.05279709198,-560205.4267433501,252.5543054452618,551.8227173176247,0.9001333340440021,399
43000,171.99999999996194,-660562.4795404421,108295.12192140095,-552267.3576190411,260.00936944795865,551.8227173176247,0.9001333340440021,399
44000,175.99999999995262,-653650.9795404421,110172.76682887401,-543478.2127115681,264.5174697185653,551.8227173176247,0.9001333340440021,398
45000,179.9999999999433,-650151.9795404421,112364.70863124065,-537787.2709092015,269.78017588471755,551.8227173176247,0.9001333340440021,398
46000,183.99999999993398,-646016.9795404421,115393.19870263373,-530623.7808378084,277.051378685651,551.8227173176247,0.9001333340440021,397
47000,187.99999999992465,-639833.7295404421,117626.91036305577,-522206.81917738635,282.414371496873,551.8227173176247,0.9001333340440021,397
48000,191.99999999991533,-634416.2295404421,119714.73092984423,-514701.4986105979,287.4270895164819,551.8227173176247,0.9001333340440021,396
49000,195.999999999906,-631239.7295404421,122650.74739026115,-508588.98215018096,294.4762693411825,551.8227173176247,0.9001333340440021,396
50000,199.9999999998967,-624565.7295404421,125324.2560934769,-499241.4734469652,300.8951855379922,551.8227173176247,0.9001333340440021,395
51000,203.99999999988736,-623999.4795404421,125522.82774346747,-498476.65179697465,301.3719428340573,551.8227173176247,0.9001333340440021,395
52000,207.99999999987804,-622683.7596361618,125620.23955703527,-497063.5200791266,301.6058221055625,551.8227173176247,0.9001333340440021,384
53000,211.99999999986872,-622220.4518695474,125139.2630473692,-497081.18882217817,300.45102956478377,551.8227173176247,0.9001333340440021,381
54000,215.9999999998594,-622287.7246207348,125333.00571599061,-496954.7189047442,300.9161927984517,551.8227173176247,0.9001333340440021,379
55000,219.99999999985008,-623876.2102416339,125119.62839752178,-498756.58184411214,300.4038880792249,551.8227173176247,0.9001333340440021,377
56000,223.99999999984075,-622706.4536067112,125176.38274775186,-497530.07085895934,300.5401514912321,551.8227173176247,0.9001333340440021,375
57000,227.99999999983143,-621664.4869551146,125546.19658448923,-496118.29037062544,301.42804986372755,551.8227173176247,0.9001333340440021,373
58000,231.9999999998221,-622062.6374884783,124656.27449308551,-497406.3629953928,299.29140623898866,551.8227173176247,0.9001333340440021,371
59000,235.9999999998128,-621738.6392875109,125273.08636230882,-496465.55292520206,300.7723304241165,551.8227173176247,0.9001333340440021,370
60000,239.99999999980346,-622442.8519476112,125532.15818542142,-496910.69376218977,301.3943446032789,551.8227173176247,0.9001333340440021,368
61000,243.99999999979414,-622661.8185284394,125216.1319246369,-497445.6866038025,300.6355866154979,551.8227173176247,0.9001333340440021,366
62000,247.99999999978482,-623571.2060452634,126154.02209879627,-497417.1839464672,302.8873984096765,551.8227173176247,0.9001333340440021,365
63000,251.9999999997755,-623458.3847703324,125118.4789784326,-498339.9057918998,300.4011284006049,551.8227173176247,0.9001333340440021,363
64000,255.99999999976617,-621917.4699669098,124949.4146801745,-496968.05528673535,299.9952162892713,551.8227173176247,0.9001333340440021,362
65000,259.99999999978525,-621991.9633073108,125628.8920181155,-496363.07128919533,301.62659608789636,551.8227173176247,0.9001333340440021,361
66000,263.99999999980434,-622122.2132213418,125924.58176183153,-496197.6314595103,302.33652745370284,551.8227173176247,0.9001333340440021,360
67000,267.99999999982344,-623528.1920402553,124865.28254254034,-498662.90949771495,299.7932206345414,551.8227173176247,0.9001333340440021,358
68000,271.99999999984254,-624118.1342508243,125710.60701976833,-498407.527231056,301.82278836024653,551.8227173176247,0.9001333340440021,357
69000,275.99999999986164,-623016.2067857771,125814.1610177285,-497202.0457680486,302.07141460707766,551.8227173176247,0.9001333340440021,356
