#"Step","Time (ps)","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)","Box Volume (nm^3)","Density (g/mL)","Speed (ns/day)"
1000,4.000000000000003,-2040285.5231754184,7978.727975288026,-2032306.7952001304,7.44702877035199,1392.4536302647998,0.9183545242390345,0
2000,7.999999999999562,-2040256.0231754184,13204.911676262915,-2027051.1114991554,12.324941703447026,1392.4536302647998,0.9183545242390345,170
3000,11.999999999999122,-2036906.5231754184,19539.636181686743,-2017366.8869937316,18.23752273017918,1392.4536302647998,0.9183545242390345,129
4000,15.999999999998682,-2032870.0231754184,25971.278199693505,-2006898.744975725,24.240562725658165,1392.4536302647998,0.9183545242390345,140
5000,20.000000000000018,-2029267.0231754184,32217.460175096814,-1997049.5630003216,30.07050166075556,1392.4536302647998,0.9183545242390345,147
6000,24.000000000001354,-2025549.0231754184,39002.63105240939,-1986546.392123009,36.403511495356064,1392.4536302647998,0.9183545242390345,150
7000,28.00000000000269,-2021795.0231754184,45245.202178380416,-1976549.820997038,42.230080206566775,1392.4536302647998,0.9183545242390345,153
8000,32.00000000000402,-2018101.5231754184,51715.58881395518,-1966385.9343614632,48.26928289397095,1392.4536302647998,0.9183545242390345,155
9000,36.000000000001805,-2014112.0231754184,58182.256458150674,-1955929.7667172677,54.30501442207706,1392.4536302647998,0.9183545242390345,156
10000,39.99999999999959,-2010475.0231754184,64401.39415605564,-1946073.6290193629,60.10971129938938,1392.4536302647998,0.9183545242390345,157
11000,43.99999999999737,-2005964.0231754184,71450.00291461642,-1934514.020260802,66.6886036213904,1392.4536302647998,0.9183545242390345,157
12000,47.999999999995154,-2001946.0231754184,77214.91781402307,-1924731.1053613953,72.06934692376655,1392.4536302647998,0.9183545242390345,158
13000,51.99999999999294,-1997871.0231754184,83788.1139108509,-1914082.9092645675,78.20450789151155,1392.4536302647998,0.9183545242390345,158
14000,55.99999999999072,-1993409.0231754184,90156.24763393393,-1903252.7755414844,84.1482717591519,1392.4536302647998,0.9183545242390345,159
15000,59.9999999999885,-1988700.0231754184,96728.34397440289,-1891971.6792010155,90.28240625785692,1392.4536302647998,0.9183545242390345,159
16000,63.99999999998629,-1983636.0231754184,103424.58019043515,-1880211.4429849833,96.53240800103143,1392.4536302647998,0.9183545242390345,159
17000,67.99999999999118,-1979432.5231754184,109272.67531136406,-1870159.8478640544,101.99078842861337,1392.4536302647998,0.9183545242390345,159
18000,71.99999999999606,-1974142.0231754184,116246.99737966743,-1857895.025795751,108.5003444953473,1392.4536302647998,0.9183545242390345,159
19000,76.00000000000095,-1969038.0231754184,122006.80091557016,-1847031.2222598481,113.87631705341592,1392.4536302647998,0.9183545242390345,159
20000,80.00000000000584,-1964216.0231754184,129338.60883460793,-1834877.4143408104,120.71953625839173,1392.4536302647998,0.9183545242390345,159
21000,84.00000000001073,-1958230.5231754184,134978.52828667875,-1823251.9948887397,125.98361375948275,1392.4536302647998,0.9183545242390345,159
22000,88.00000000001562,-1952398.0231754184,141587.7435404002,-1810810.2796350182,132.1523935820755,1392.4536302647998,0.9183545242390345,159
23000,92.0000000000205,-1947589.0231754184,148682.11997973145,-1798906.9031956869,138.7740036451131,1392.4536302647998,0.9183545242390345,159
24000,96.0000000000254,-1941324.0231754184,154143.1019097254,-1787180.921265693,143.87106794821955,1392.4536302647998,0.9183545242390345,159
25000,100.00000000003028,-1934138.0231754184,160410.23584834277,-1773727.7873270756,149.72056261617735,1392.4536302647998,0.9183545242390345,158
26000,104.00000000003517,-1927560.0231754184,166961.49819979008,-1760598.5249756284,155.83525149446194,1392.4536302647998,0.9183545242390345,158
27000,108.00000000004006,-1920833.5231754184,174002.5959381435,-1746830.9272372748,162.40713332760407,1392.4536302647998,0.9183545242390345,158
