#"Step","Time (ps)","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)","Box Volume (nm^3)","Density (g/mL)","Speed (ns/day)"
1000,4.000000000000003,-2040042.0231754184,7713.361190631733,-2032328.6619847866,7.199345920886267,1392.4536302647998,0.9183545242390345,0
2000,7.999999999999562,-2040049.5231754184,13332.875001292232,-2026716.6481741262,12.44437760425662,1392.4536302647998,0.9183545242390345,285
3000,11.999999999999122,-2036965.0231754184,19563.056826566015,-2017401.9663488523,18.259382632757177,1392.4536302647998,0.9183545242390345,213
4000,15.999999999998682,-2033138.0231754184,25951.60421440603,-2007186.4189610123,24.222199806792265,1392.4536302647998,0.9183545242390345,232
5000,20.000000000000018,-2028854.5231754184,32409.411736929833,-1996445.1114384886,30.24966164815103,1392.4536302647998,0.9183545242390345,243
6000,24.000000000001354,-2025153.0231754184,38900.429581556535,-1986252.593593862,36.308120689181095,1392.4536302647998,0.9183545242390345,250
7000,28.00000000000269,-2021278.5231754184,45322.84402265253,-1975955.6791527658,42.302548029742155,1392.4536302647998,0.9183545242390345,254
8000,32.00000000000402,-2017110.0231754184,51514.28004771909,-1965595.7431276992,48.081389262488905,1392.4536302647998,0.9183545242390345,257
9000,36.000000000001805,-2013574.0231754184,58286.57579518674,-1955287.4473802317,54.40238196068945,1392.4536302647998,0.9183545242390345,259
10000,39.99999999999959,-2009373.5231754184,64667.46674897193,-1944706.0564264464,60.35805292233815,1392.4536302647998,0.9183545242390345,261
11000,43.99999999999737,-2004974.0231754184,71344.53395682902,-1933629.4892185894,66.59016307228855,1392.4536302647998,0.9183545242390345,262
12000,47.999999999995154,-2001319.0231754184,77554.60324374118,-1923764.4199316772,72.38639585384851,1392.4536302647998,0.9183545242390345,263
13000,51.99999999999294,-1997064.0231754184,84040.25968203609,-1913023.7634933824,78.4398507704961,1392.4536302647998,0.9183545242390345,264
14000,55.99999999999072,-1992226.5231754184,90156.38182501592,-1902070.1413504025,84.14839700779444,1392.4536302647998,0.9183545242390345,264
15000,59.9999999999885,-1988264.5231754184,97224.7559659254,-1891039.767209493,90.7457375550594,1392.4536302647998,0.9183545242390345,265
16000,63.99999999998629,-1983598.0231754184,102857.8962546213,-1880740.1269207972,96.00348765348069,1392.4536302647998,0.9183545242390345,265
17000,67.99999999999118,-1978622.0231754184,110103.21122070133,-1868518.8119547172,102.7659777608981,1392.4536302647998,0.9183545242390345,265
18000,71.99999999999606,-1974300.0231754184,116039.93788911986,-1858260.0852862985,108.30708336549577,1392.4536302647998,0.9183545242390345,265
19000,76.00000000000095,-1968764.0231754184,123154.07308581023,-1845609.950089608,114.9471354702944,1392.4536302647998,0.9183545242390345,265
20000,80.00000000000584,-1963671.0231754184,128844.47043071632,-1834826.552744702,120.25832703786008,1392.4536302647998,0.9183545242390345,265
21000,84.00000000001073,-1958107.0231754184,135090.36583223098,-1823016.6573431874,126.08799849623684,1392.4536302647998,0.9183545242390345,265
22000,88.00000000001562,-1953214.0231754184,140855.55280069934,-1812358.470374719,131.46899573710246,1392.4536302647998,0.9183545242390345,265
23000,92.0000000000205,-1946925.0231754184,148116.95300269205,-1798808.0701727264,138.24649916681773,1392.4536302647998,0.9183545242390345,265
24000,96.0000000000254,-1940950.0231754184,154454.18060477483,-1786495.8425706436,144.16141648485996,1392.4536302647998,0.9183545242390345,265
25000,100.00000000003028,-1934677.0231754184,161539.28248783955,-1773137.740687579,150.77437004430917,1392.4536302647998,0.9183545242390345,265
26000,104.00000000003517,-1928939.0231754184,167184.24441113145,-1761754.778764287,156.04315398837872,1392.4536302647998,0.9183545242390345,265
27000,108.00000000004006,-1921954.0231754184,174359.70472507377,-1747594.3184503447,162.74044452942118,1392.4536302647998,0.9183545242390345,264
28000,112.00000000004495,-1914856.0231754184,180224.9466725058,-1734631.0765029127,168.21482912592387,1392.4536302647998,0.9183545242390345,264
29000,116.00000000004984,-1906509.0231754184,186331.76707756042,-1720177.2560978578,173.91469348934987,1392.4536302647998,0.9183545242390345,263
30000,120.00000000005473,-1899804.5231754184,191880.35365727276,-1707924.1695181457,179.09352450375292,1392.4536302647998,0.9183545242390345,263
31000,124.00000000005961,-1889882.0231754184,200194.6200767021,-1689687.4030987164,186.8537315720515,1392.4536302647998,0.9183545242390345,262
32000,128.0000000000645,-1881654.0231754184,206417.30619594015,-1675236.7169794783,192.66174040533457,1392.4536302647998,0.9183545242390345,262
33000,132.00000000005517,-1870509.5231754184,212164.79711296855,-1658344.7260624499,198.02622085247026,1392.4536302647998,0.9183545242390345,261
34000,136.00000000004584,-1859078.0231754184,217477.41610786165,-1641600.6070675568,202.98480906645923,1392.4536302647998,0.9183545242390345,260
35000,140.00000000003652,-1845771.5231754184,225330.42507251303,-1620441.0981029053,210.314496690191,1392.4536302647998,0.9183545242390345,260
36000,144.0000000000272,-1832615.0231754184,231261.86476567527,-1601353.158409743,215.8506676414249,1392.4536302647998,0.9183545242390345,259
37000,148.00000000001788,-1817374.5231754184,237892.29893426842,-1579482.22424115,222.03925235898518,1392.4536302647998,0.9183545242390345,259
38000,152.00000000000855,-1799304.5231754184,242897.37475032953,-1556407.1484250887,226.71079194718058,1392.4536302647998,0.9183545242390345,258
39000,155.99999999999923,-1783204.5231754184,250571.52830132135,-1532632.994874097,233.87354300967334,1392.4536302647998,0.9183545242390345,258
40000,159.9999999999899,-1769877.0231754184,257636.3892587094,-1512240.633916709,240.46760449054565,1392.4536302647998,0.9183545242390345,257
41000,163.9999999999806,-1753133.0231754184,263111.53754484415,-1490021.4856305742,245.57789110954985,1392.4536302647998,0.9183545242390345,257
42000,167.99999999997127,-1738038.0231754184,271385.21735084296,-1466652.8058245755,253.30021623991993,1392.4536302647998,0.9183545242390345,256
43000,171.99999999996194,-1725822.5231754184,277339.6880780233,-1448482.8350973951,258.85788344638087,1392.4536302647998,0.9183545242390345,256
44000,175.99999999995262,-1712690.0231754184,282939.7176375366,-1429750.3055378818,264.0847293012192,1392.4536302647998,0.9183545242390345,255
45000,179.9999999999433,-1696332.0231754184,290151.24658592144,-1406180.776589497,270.81568487749445,1392.4536302647998,0.9183545242390345,255
46000,183.99999999993398,-1684652.0231754184,296240.9041085446,-1388411.1190668738,276.49953008603194,1392.4536302647998,0.9183545242390345,255
47000,187.99999999992465,-1670028.5231754184,301579.00240259257,-1368449.520772826,281.48189966898633,1392.4536302647998,0.9183545242390345,254
48000,191.99999999991533,-1656738.5231754184,308406.2182618166,-1348332.3049136018,287.8541526249106,1392.4536302647998,0.9183545242390345,254
49000,195.999999999906,-1643585.0231754184,316037.25696623296,-1327547.7662091854,294.97666199676405,1392.4536302647998,0.9183545242390345,254
50000,199.9999999998967,-1631586.0231754184,322211.2424695539,-1309374.7807058645,300.7392156034757,1392.4536302647998,0.9183545242390345,253
51000,203.99999999988736,-1628271.0231754184,322247.5219467401,-1306023.5012286783,300.77307743097697,1392.4536302647998,0.9183545242390345,253
52000,207.99999999987804,-1625370.6719158143,323029.07565022766,-1302341.5962655866,301.50254871179686,1392.4536302647998,0.9183545242390345,241
53000,211.99999999986872,-1627426.91678158,323096.9110060596,-1304330.0057755206,301.56586354695514,1392.4536302647998,0.9183545242390345,239
54000,215.9999999998594,-1626647.7568802685,321960.09130451106,-1304687.6655757574,300.5048010504825,1392.4536302647998,0.9183545242390345,238
55000,219.99999999985008,-1627386.7761413064,321747.00394050067,-1305639.7722008056,300.3059137422175,1392.4536302647998,0.9183545242390345,236
56000,223.99999999984075,-1627146.6939571071,322135.4539844247,-1305011.2399726824,300.6684776323396,1392.4536302647998,0.9183545242390345,235
57000,227.99999999983143,-1624745.9720528163,323268.9475579747,-1301477.0244948417,301.72643565263814,1392.4536302647998,0.9183545242390345,234
58000,231.9999999998221,-1626612.1073584296,322783.4400087488,-1303828.6673496808,301.2732821301083,1392.4536302647998,0.9183545242390345,233
59000,235.9999999998128,-1624978.3517334834,322079.34870957653,-1302899.0030239068,300.6161111903132,1392.4536302647998,0.9183545242390345,232
60000,239.99999999980346,-1626283.1061478425,322998.0105682036,-1303285.0955796388,301.4735537942733,1392.4536302647998,0.9183545242390345,230
