#"Step","Time (ps)","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)","Box Volume (nm^3)","Density (g/mL)","Speed (ns/day)"
1000,4.000000000000003,-2487909.386695422,9594.11787151938,-2478315.268823903,7.41321155349565,1675.482777916107,0.9227061307628537,0
2000,7.999999999999562,-2486372.785132922,15679.21941701255,-2470693.5657159095,12.115065927742595,1675.482777916107,0.9227061307628537,119
3000,11.999999999999122,-2480988.308570422,23558.63054848882,-2457429.6780219334,18.203352773581784,1675.482777916107,0.9227061307628537,94.1
4000,15.999999999998682,-2475629.160132922,31372.855976344,-2444256.304156578,24.24127173592424,1675.482777916107,0.9227061307628537,98.3
5000,20.000000000000018,-2471529.089820422,39271.63553213317,-2432257.454288289,30.344524233510906,1675.482777916107,0.9227061307628537,102
6000,24.000000000001354,-2466573.339820422,46945.61964703984,-2419627.720173382,36.27408112074133,1675.482777916107,0.9227061307628537,104
7000,28.00000000000269,-2462269.128882922,54874.22847163497,-2407394.9004112873,42.40038218653467,1675.482777916107,0.9227061307628537,106
8000,32.00000000000402,-2457675.371070422,62270.10610091609,-2395405.2649695063,48.11505092667848,1675.482777916107,0.9227061307628537,107
9000,36.000000000001805,-2452188.949195422,70376.09899357347,-2381812.850201849,54.37841364215915,1675.482777916107,0.9227061307628537,108
10000,39.99999999999959,-2446920.847632922,78213.62318061343,-2368707.224452309,60.43433515909638,1675.482777916107,0.9227061307628537,108
11000,43.99999999999737,-2441952.613257922,85799.10518641843,-2356153.5080715036,66.29550797324293,1675.482777916107,0.9227061307628537,109
12000,47.999999999995154,-2436785.957007922,93550.17798634015,-2343235.779021582,72.28462997506236,1675.482777916107,0.9227061307628537,109
13000,51.99999999999294,-2430846.988257922,101393.22631553035,-2329453.7619423917,78.34481990259863,1675.482777916107,0.9227061307628537,109
14000,55.99999999999072,-2426305.753882922,108643.89929597802,-2317661.854586944,83.94729148248564,1675.482777916107,0.9227061307628537,109
15000,59.9999999999885,-2420187.707007922,116531.11685269666,-2303656.5901552257,90.04161022021663,1675.482777916107,0.9227061307628537,109
16000,63.99999999998629,-2414213.605445422,124861.53282058661,-2289352.0726248357,96.47838082545483,1675.482777916107,0.9227061307628537,109
17000,67.99999999999118,-2407957.527320422,131810.2039686393,-2276147.3233517827,101.84750073058983,1675.482777916107,0.9227061307628537,109
18000,71.99999999999606,-2402593.371070422,139862.8913739353,-2262730.479696487,108.06967520343434,1675.482777916107,0.9227061307628537,109
19000,76.00000000000095,-2395745.800757922,147992.13895131054,-2247753.661806612,114.35100641791949,1675.482777916107,0.9227061307628537,109
20000,80.00000000000584,-2389163.832007922,155607.46124366167,-2233556.3707642606,120.235236313493,1675.482777916107,0.9227061307628537,110
21000,84.00000000001073,-2382742.988257922,163362.08038667496,-2219380.9078712473,126.22709851424798,1675.482777916107,0.9227061307628537,109
22000,88.00000000001562,-2375295.316382922,171102.55673090735,-2204192.759652015,132.2080328151454,1675.482777916107,0.9227061307628537,109
23000,92.0000000000205,-2368360.738257922,178506.66246133967,-2189854.0757965827,137.92905926897737,1675.482777916107,0.9227061307628537,109
24000,96.0000000000254,-2361190.175757922,186667.17539221095,-2174523.0003657113,144.23454868986198,1675.482777916107,0.9227061307628537,109
25000,100.00000000003028,-2353610.027320422,194879.5895688098,-2158730.4377516126,150.5801413197775,1675.482777916107,0.9227061307628537,109
26000,104.00000000003517,-2345756.050757922,202483.77212194004,-2143272.2786359824,156.4557637284928,1675.482777916107,0.9227061307628537,109
