#"Step","Time (ps)","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)","Box Volume (nm^3)","Density (g/mL)","Speed (ns/day)"
1000,4.000000000000003,-1985169.7151408577,7563.414032441755,-1977606.301108416,7.2433710458128155,1355.9457801927301,0.9190097840036038,0
2000,7.999999999999562,-1983568.7151408577,12750.926993778165,-1970817.7881470795,12.21137637022743,1355.9457801927301,0.9190097840036038,217
3000,11.999999999999122,-1979660.7151408577,18928.807454275015,-1960731.9076865828,18.127842169946327,1355.9457801927301,0.9190097840036038,165
4000,15.999999999998682,-1975819.7151408577,25258.12305136239,-1950561.5920894954,24.18933518607749,1355.9457801927301,0.9190097840036038,177
5000,20.000000000000018,-1971650.7151408577,31577.82382365253,-1940072.8913172053,30.241620225063922,1355.9457801927301,0.9190097840036038,185
6000,24.000000000001354,-1967538.7151408577,37776.10785564008,-1929762.6072852176,36.1776262269102,1355.9457801927301,0.9190097840036038,194
7000,28.00000000000269,-1963985.7151408577,44144.9871685605,-1919840.7279722972,42.27700883529436,1355.9457801927301,0.9190097840036038,194
8000,32.00000000000402,-1960327.7151408577,50494.03386256186,-1909833.6812782958,48.35739803448199,1355.9457801927301,0.9190097840036038,200
9000,36.000000000001805,-1956715.7151408577,56869.354324722604,-1899846.360816135,54.462949237327464,1355.9457801927301,0.9190097840036038,198
10000,39.99999999999959,-1953029.7151408577,62853.6789932602,-1890176.0361475975,60.19404948476885,1355.9457801927301,0.9190097840036038,199
11000,43.99999999999737,-1948933.7151408577,69127.06877811276,-1879806.646362745,66.20198316812811,1355.9457801927301,0.9190097840036038,203
12000,47.999999999995154,-1944275.7151408577,75931.0026140589,-1868344.7125267987,72.71801113295022,1355.9457801927301,0.9190097840036038,204
13000,51.99999999999294,-1940540.7151408577,81823.01818046422,-1858717.6969603936,78.36070830278909,1355.9457801927301,0.9190097840036038,202
14000,55.99999999999072,-1935231.7151408577,88466.01326698757,-1846765.70187387,84.72260758012719,1355.9457801927301,0.9190097840036038,205
15000,59.9999999999885,-1930745.7151408577,94157.21121268478,-1836588.5039281729,90.17298465045981,1355.9457801927301,0.9190097840036038,203
16000,63.99999999998629,-1926512.2151408577,100677.46334161496,-1825834.7517992428,96.41733479174714,1355.9457801927301,0.9190097840036038,204
17000,67.99999999999118,-1922215.2151408577,106715.32986734483,-1815499.885273513,102.19971129306833,1355.9457801927301,0.9190097840036038,206
18000,71.99999999999606,-1917890.7151408577,112838.75447355925,-1805051.9606672984,108.06402551725633,1355.9457801927301,0.9190097840036038,205
19000,76.00000000000095,-1912372.7151408577,118923.37430920667,-1793449.3408316511,113.89117697997725,1355.9457801927301,0.9190097840036038,204
20000,80.00000000000584,-1906256.7151408577,125109.38181282318,-1781147.3333280345,119.81542593007882,1355.9457801927301,0.9190097840036038,206
21000,84.00000000001073,-1901123.2151408577,132422.33635063365,-1768700.878790224,126.81893557946674,1355.9457801927301,0.9190097840036038,205
22000,88.00000000001562,-1896027.7151408577,137567.26826502098,-1758460.4468758367,131.74616165773028,1355.9457801927301,0.9190097840036038,205
23000,92.0000000000205,-1889911.7151408577,144725.34916160128,-1745186.3659792566,138.60135108508166,1355.9457801927301,0.9190097840036038,206
24000,96.0000000000254,-1884382.7151408577,150224.8157463653,-1734157.8993944924,143.8681098340582,1355.9457801927301,0.9190097840036038,206
