#"Step","Time (ps)","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)","Box Volume (nm^3)","Density (g/mL)","Speed (ns/day)"
1000,4.000000000000003,-4438457.53624003,16249.98828125,-4422207.54795878,7.173397246155369,2888.8631566558793,0.9383305111693723,0
2000,7.999999999999562,-4434804.54795878,27784.443359375,-4407020.104599405,12.265168813079843,2888.8631566558793,0.9383305111693723,258
3000,11.999999999999122,-4426061.61436503,41095.203125,-4384966.41124003,18.141072585708603,2888.8631566558793,0.9383305111693723,258
4000,15.999999999998682,-4416664.51280253,54724.01953125,-4361940.49327128,24.15737932912679,2888.8631566558793,0.9383305111693723,257
5000,20.000000000000018,-4408088.77061503,68420.34375,-4339668.42686503,30.203486731345464,2888.8631566558793,0.9383305111693723,256
6000,24.000000000001354,-4399761.91905253,81913.03125,-4317848.88780253,36.15970071012193,2888.8631566558793,0.9383305111693723,255
7000,28.00000000000269,-4391440.82530253,95628.7265625,-4295812.09874003,42.21435929084954,2888.8631566558793,0.9383305111693723,255
8000,32.00000000000402,-4382622.89952128,109383.9375,-4273238.96202128,48.28646165496021,2888.8631566558793,0.9383305111693723,254
9000,36.000000000001805,-4374668.25889628,122793.078125,-4251875.18077128,54.205794688798306,2888.8631566558793,0.9383305111693723,253
10000,39.99999999999959,-4366811.47374003,136122.46875,-4230689.00499003,60.08992287076331,2888.8631566558793,0.9383305111693723,252
11000,43.99999999999737,-4358581.07920878,149861.421875,-4208719.65733378,66.15484838370352,2888.8631566558793,0.9383305111693723,252
12000,47.999999999995154,-4349735.89952128,163652.78125,-4186083.11827128,72.24290811944593,2888.8631566558793,0.9383305111693723,251
13000,51.99999999999294,-4340983.33702128,177107.015625,-4163876.32139628,78.18214734499753,2888.8631566558793,0.9383305111693723,250
14000,55.99999999999072,-4331613.68858378,191405.3125,-4140208.37608378,84.49398964621224,2888.8631566558793,0.9383305111693723,249
15000,59.9999999999885,-4322088.38780253,204433.71875,-4117654.66905253,90.24525124086702,2888.8631566558793,0.9383305111693723,249
16000,63.99999999998629,-4311225.55577128,217735.375,-4093490.18077128,96.11713635620296,2888.8631566558793,0.9383305111693723,248
17000,67.99999999999118,-4301641.14952128,231015.15625,-4070625.99327128,101.97936496828217,2888.8631566558793,0.9383305111693723,247
18000,71.99999999999606,-4290296.89952128,245337.375,-4044959.52452128,108.30176734555833,2888.8631566558793,0.9383305111693723,247
19000,76.00000000000095,-4280138.04795878,259084.578125,-4021053.46983378,114.3703347397268,2888.8631566558793,0.9383305111693723,246
20000,80.00000000000584,-4268993.06749003,271724.03125,-3997269.03624003,119.94989680897467,2888.8631566558793,0.9383305111693723,246
21000,84.00000000001073,-4256095.32530253,285895.75,-3970199.57530253,126.20586244384455,2888.8631566558793,0.9383305111693723,245
22000,88.00000000001562,-4244091.81358378,300425.625,-3943666.18858378,132.61993262703638,2888.8631566558793,0.9383305111693723,245
23000,92.0000000000205,-4230950.31749003,313235.96875,-3917714.34874003,138.27493267922623,2888.8631566558793,0.9383305111693723,244
24000,96.0000000000254,-4219028.55967753,327216.625,-3891811.93467753,144.44655565565097,2888.8631566558793,0.9383305111693723,244
25000,100.00000000003028,-4207209.54014628,340689.0,-3866520.54014628,150.3938028814033,2888.8631566558793,0.9383305111693723,243
26000,104.00000000003517,-4192784.26280253,355895.8125,-3836888.45030253,157.1067004553768,2888.8631566558793,0.9383305111693723,243
27000,108.00000000004006,-4178529.95811503,367756.3125,-3810773.64561503,162.34240134115498,2888.8631566558793,0.9383305111693723,242
28000,112.00000000004495,-4162950.35264628,380780.28125,-3782170.07139628,168.09170404514913,2888.8631566558793,0.9383305111693723,241
29000,116.00000000004984,-4145628.12999003,394212.15625,-3751415.97374003,174.0210729448719,2888.8631566558793,0.9383305111693723,240
30000,120.00000000005473,-4129663.19249003,408975.0,-3720688.19249003,180.53798488774783,2888.8631566558793,0.9383305111693723,240
31000,124.00000000005961,-4109567.01670878,422346.8125,-3687220.20420878,186.44083978852854,2888.8631566558793,0.9383305111693723,239
32000,128.0000000000645,-4090731.08702128,434259.0,-3656472.08702128,191.6993576120019,2888.8631566558793,0.9383305111693723,239
33000,132.00000000005517,-4064908.00889628,449093.3125,-3615814.69639628,198.24781873051802,2888.8631566558793,0.9383305111693723,238
34000,136.00000000004584,-4042429.22374003,461234.6875,-3581194.53624003,203.60750911811257,2888.8631566558793,0.9383305111693723,238
35000,140.00000000003652,-4013301.62999003,475334.875,-3537966.75499003,209.83189798733295,2888.8631566558793,0.9383305111693723,237
36000,144.0000000000272,-3980662.68077128,489526.875,-3491135.80577128,216.0968165802223,2888.8631566558793,0.9383305111693723,237
37000,148.00000000001788,-3943390.09874003,504001.5625,-3439388.53624003,222.48652478519784,2888.8631566558793,0.9383305111693723,236
38000,152.00000000000855,-3907954.95811503,515774.1875,-3392180.77061503,227.68343411789328,2888.8631566558793,0.9383305111693723,236
39000,155.99999999999923,-3869054.12999003,530145.125,-3338909.00499003,234.02734290742268,2888.8631566558793,0.9383305111693723,235
40000,159.9999999999899,-3834401.98155253,544169.3125,-3290232.66905253,240.21818232532823,2888.8631566558793,0.9383305111693723,235
41000,163.9999999999806,-3798328.28624003,556939.125,-3241389.16124003,245.85529025648387,2888.8631566558793,0.9383305111693723,235
42000,167.99999999997127,-3767219.78624003,569307.875,-3197911.91124003,251.31535309792974,2888.8631566558793,0.9383305111693723,234
43000,171.99999999996194,-3736611.30577128,585794.875,-3150816.43077128,258.5933768324962,2888.8631566558793,0.9383305111693723,234
44000,175.99999999995262,-3702258.72764628,597979.3125,-3104279.41514628,263.9720767365018,2888.8631566558793,0.9383305111693723,233
45000,179.9999999999433,-3678525.84874003,612546.25,-3065979.59874003,270.4025077952115,2888.8631566558793,0.9383305111693723,233
46000,183.99999999993398,-3648206.14561503,628429.625,-3019776.52061503,277.4140672199108,2888.8631566558793,0.9383305111693723,233
47000,187.99999999992465,-3621472.86827128,640884.4375,-2980588.43077128,282.9121215041696,2888.8631566558793,0.9383305111693723,232
48000,191.99999999991533,-3593041.38389628,651816.25,-2941225.13389628,287.7378624416858,2888.8631566558793,0.9383305111693723,232
49000,195.999999999906,-3567185.71592753,665482.125,-2901703.59092753,293.77052833624623,2888.8631566558793,0.9383305111693723,232
50000,199.9999999998967,-3538218.89952128,677648.75,-2860570.14952128,299.1413650876,2888.8631566558793,0.9383305111693723,231
51000,203.99999999988736,-3534481.46202128,682157.5,-2852323.96202128,301.13170835885774,2888.8631566558793,0.9383305111693723,231
52000,207.99999999987804,-3524041.1550266705,682848.4375,-2841192.7175266705,301.4367159117237,2888.8631566558793,0.9383305111693723,204
53000,211.99999999986872,-3515526.7521243617,682266.5625,-2833260.1896243617,301.1798529250948,2888.8631566558793,0.9383305111693723,203
54000,215.9999999998594,-3532198.8552842177,684229.6875,-2847969.1677842177,302.0464551173627,2888.8631566558793,0.9383305111693723,202
55000,219.99999999985008,-3496423.3158797696,682576.5625,-2813846.7533797696,301.3166993712473,2888.8631566558793,0.9383305111693723,201
56000,223.99999999984075,-3510787.70831405,679450.3125,-2831337.39581405,299.93664710581464,2888.8631566558793,0.9383305111693723,200
57000,227.99999999983143,-3514553.865526192,681049.25,-2833504.615526192,300.6424823138627,2888.8631566558793,0.9383305111693723,199
58000,231.9999999998221,-3485123.4689146653,681780.375,-2803343.0939146653,300.96523024271175,2888.8631566558793,0.9383305111693723,198
59000,235.9999999998128,-3521606.9986697696,681679.5,-2839927.4986697696,300.9206999676936,2888.8631566558793,0.9383305111693723,198
60000,239.99999999980346,-3487804.716162801,682135.875,-2805668.841162801,301.1221622156382,2888.8631566558793,0.9383305111693723,197
61000,243.99999999979414,-3526307.4860117175,682056.125,-2844251.3610117175,301.0869573637651,2888.8631566558793,0.9383305111693723,196
62000,247.99999999978482,-3528106.214173518,681378.3125,-2846727.901673518,300.78774371285317,2888.8631566558793,0.9383305111693723,196
63000,251.9999999997755,-3530749.4755902104,682003.4375,-2848746.0380902104,301.06369898592106,2888.8631566558793,0.9383305111693723,195
64000,255.99999999976617,-3522139.1014254056,679463.875,-2842675.2264254056,299.9426341378338,2888.8631566558793,0.9383305111693723,194
65000,259.99999999978525,-3529268.3367117867,685557.8125,-2843710.5242117867,302.6327428150925,2888.8631566558793,0.9383305111693723,194
66000,263.99999999980434,-3525209.7081346884,685502.0,-2839707.7081346884,302.6081049367832,2888.8631566558793,0.9383305111693723,193
67000,267.99999999982344,-3530734.602065377,682345.8125,-2848388.789565377,301.21483705689343,2888.8631566558793,0.9383305111693723,193
68000,271.99999999984254,-3527781.9769833945,682150.0,-2845631.9769833945,301.1283975577411,2888.8631566558793,0.9383305111693723,192
69000,275.99999999986164,-3527869.2875415087,682695.8125,-2845173.4750415087,301.3693411090011,2888.8631566558793,0.9383305111693723,192
70000,279.99999999988074,-3526762.1116725877,681937.625,-2844824.4866725877,301.03464670612294,2888.8631566558793,0.9383305111693723,191
71000,283.99999999989984,-3520686.3815814666,681647.5625,-2839038.8190814666,300.9066014729388,2888.8631566558793,0.9383305111693723,191
72000,287.99999999991894,-3528646.792068463,681937.25,-2846709.542068463,301.0344811660671,2888.8631566558793,0.9383305111693723,190
73000,291.99999999993804,-3523025.570471406,681465.5625,-2841560.007971406,300.8262593658428,2888.8631566558793,0.9383305111693723,190
74000,295.99999999995714,-3525456.8264460266,681977.125,-2843479.7014460266,301.05208359200367,2888.8631566558793,0.9383305111693723,190
75000,299.99999999997624,-3522468.3656528145,683535.125,-2838933.2406528145,301.739847343957,2888.8631566558793,0.9383305111693723,189
76000,303.99999999999534,-3527718.6239172146,682231.375,-2845487.2489172146,301.16431974985613,2888.8631566558793,0.9383305111693723,189
77000,308.00000000001444,-3524732.3257321306,682951.6875,-2841780.6382321306,301.48229460709547,2888.8631566558793,0.9383305111693723,188
78000,312.00000000003354,-3524292.010076821,682179.625,-2842112.385076821,301.14147522215166,2888.8631566558793,0.9383305111693723,188
79000,316.00000000005264,-3526015.1982845254,681366.5,-2844648.6982845254,300.7825292010945,2888.8631566558793,0.9383305111693723,188
80000,320.00000000007174,-3527841.796596326,682161.125,-2845680.671596326,301.1333085793974,2888.8631566558793,0.9383305111693723,187
81000,324.00000000009084,-3526604.065500904,683437.0,-2843167.065500904,301.6965310293483,2888.8631566558793,0.9383305111693723,187
82000,328.00000000010994,-3527276.619949937,681955.125,-2845321.494949937,301.04237190872834,2888.8631566558793,0.9383305111693723,187
83000,332.00000000012903,-3527640.9102946706,681898.8125,-2845742.0977946706,301.0175133103446,2888.8631566558793,0.9383305111693723,186
84000,336.00000000014813,-3517401.722533338,679895.375,-2837506.347533338,300.13311556207503,2888.8631566558793,0.9383305111693723,186
85000,340.00000000016723,-3526897.9996276014,683129.75,-2843768.2496276014,301.5608985436052,2888.8631566558793,0.9383305111693723,186
86000,344.00000000018633,-3521553.234090034,683242.8125,-2838310.421590034,301.61080887043784,2888.8631566558793,0.9383305111693723,185
87000,348.00000000020543,-3526706.837939564,681705.75,-2845001.087939564,300.9322877716017,2888.8631566558793,0.9383305111693723,185
88000,352.00000000022453,-3523283.1101987734,682890.5,-2840392.6101987734,301.4552839879859,2888.8631566558793,0.9383305111693723,185
89000,356.00000000024363,-3525418.872162573,681701.6875,-2843717.184662573,300.93049442099687,2888.8631566558793,0.9383305111693723,185
90000,360.00000000026273,-3530209.466767039,681055.25,-2849154.216767039,300.6451309547559,2888.8631566558793,0.9383305111693723,184
91000,364.00000000028183,-3529775.3522959277,683513.625,-2846261.7272959277,301.7303563807561,2888.8631566558793,0.9383305111693723,184
92000,368.00000000030093,-3523795.3149656467,681066.125,-2842729.1899656467,300.649931616375,2888.8631566558793,0.9383305111693723,184
93000,372.00000000032003,-3525986.507753182,683659.75,-2842326.757753182,301.79486182251105,2888.8631566558793,0.9383305111693723,183
94000,376.0000000003391,-3523014.0738705806,681772.1875,-2841241.8863705806,300.9616159514928,2888.8631566558793,0.9383305111693723,183
95000,380.0000000003582,-3499832.816692557,681054.625,-2818778.191692557,300.64485505466286,2888.8631566558793,0.9383305111693723,183
96000,384.0000000003773,-3527575.308053009,680352.1875,-2847223.120553009,300.33477094008475,2888.8631566558793,0.9383305111693723,183
97000,388.0000000003964,-3527904.611966826,682982.3125,-2844922.299466826,301.4958137116549,2888.8631566558793,0.9383305111693723,183
98000,392.0000000004155,-3530427.910719745,682991.125,-2847436.785719745,301.49970390296687,2888.8631566558793,0.9383305111693723,182
99000,396.0000000004346,-3525285.4097060226,683417.125,-2841868.2847060226,301.6877574063893,2888.8631566558793,0.9383305111693723,182
100000,400.0000000004537,-3524431.4693336263,682937.5,-2841493.9693336263,301.4760316749833,2888.8631566558793,0.9383305111693723,182
101000,404.0000000004728,-3529720.872251261,684944.25,-2844776.622251261,302.361891693746,2888.8631566558793,0.9383305111693723,182
102000,408.0000000004919,-3528212.251510553,681051.0,-2847161.251510553,300.6432548341232,2888.8631566558793,0.9383305111693723,181
103000,412.000000000511,-3530137.4934154525,681640.3125,-2848497.1809154525,300.9034010318594,2888.8631566558793,0.9383305111693723,181
104000,416.0000000005301,-3529177.896276895,682646.5,-2846531.396276895,301.3475725916595,2888.8631566558793,0.9383305111693723,181
105000,420.0000000005492,-3526140.5149946436,680404.1875,-2845736.3274946436,300.35772582782647,2888.8631566558793,0.9383305111693723,181
106000,424.0000000005683,-3526862.827484455,683023.5,-2843839.327484455,301.51399552778685,2888.8631566558793,0.9383305111693723,180
107000,428.0000000005874,-3528168.11870626,685358.0,-2842810.11870626,302.5445375553446,2888.8631566558793,0.9383305111693723,180
108000,432.0000000006065,-3531144.1036006548,681388.5,-2849755.6036006548,300.79224088436985,2888.8631566558793,0.9383305111693723,180
109000,436.0000000006256,-3529078.745754592,679951.0,-2849127.745754592,300.1576706703564,2888.8631566558793,0.9383305111693723,180
110000,440.0000000006447,-3525850.436222993,686171.1875,-2839679.248722993,302.9035111664111,2888.8631566558793,0.9383305111693723,180
111000,444.0000000006638,-3528094.495625887,682665.8125,-2845428.683125887,301.3560979045347,2888.8631566558793,0.9383305111693723,180
112000,448.0000000006829,-3527959.9025426246,683232.75,-2844727.1525426246,301.60636687893975,2888.8631566558793,0.9383305111693723,179
113000,452.000000000702,-3527916.932608936,681860.75,-2846056.182608936,301.0007109946779,2888.8631566558793,0.9383305111693723,179
114000,456.0000000007211,-3529480.9580396004,681288.5625,-2848192.3955396004,300.74812445949124,2888.8631566558793,0.9383305111693723,179
115000,460.0000000007402,-3528959.9974773377,680591.875,-2848368.1224773377,300.44057862576915,2888.8631566558793,0.9383305111693723,179
116000,464.0000000007593,-3531281.3547063097,681804.125,-2849477.2297063097,300.97571444624765,2888.8631566558793,0.9383305111693723,179
117000,468.0000000007784,-3529101.0945560075,679879.75,-2849221.3445560075,300.1262180597488,2888.8631566558793,0.9383305111693723,179
118000,472.0000000007975,-3531571.6876893938,682731.25,-2848840.4376893938,301.384984644277,2888.8631566558793,0.9383305111693723,178
119000,476.0000000008166,-3529158.0693440884,682446.875,-2846711.1943440884,301.25945010193954,2888.8631566558793,0.9383305111693723,178
120000,480.0000000008357,-3532260.8258824274,680910.4375,-2851350.3883824274,300.5812049031964,2888.8631566558793,0.9383305111693723,178
121000,484.0000000008548,-3531600.05622695,680902.1875,-2850697.86872695,300.5775630219682,2888.8631566558793,0.9383305111693723,178
122000,488.0000000008739,-3529853.6889491715,683806.875,-2846046.8139491715,301.8598087044149,2888.8631566558793,0.9383305111693723,178
123000,492.000000000893,-3526140.279517241,682557.625,-2843582.654517241,301.3083395984279,2888.8631566558793,0.9383305111693723,178
124000,496.0000000009121,-3528088.541557707,680500.5,-2847588.041557707,300.40024203216535,2888.8631566558793,0.9383305111693723,178
125000,500.0000000009312,-3523720.8718469962,682306.25,-2841414.6218469962,301.19737258100344,2888.8631566558793,0.9383305111693723,177
126000,504.0000000009503,-3519009.598430291,680285.5,-2838724.098430291,300.3053324001564,2888.8631566558793,0.9383305111693723,176
127000,508.0000000009694,-3527106.332283899,682724.625,-2844381.707283899,301.38206010329066,2888.8631566558793,0.9383305111693723,176
128000,512.0000000009885,-3524471.970017381,682874.125,-2841597.845017381,301.448055405548,2888.8631566558793,0.9383305111693723,175
129000,516.0000000010076,-3522127.639130175,680585.0,-2841542.639130175,300.43754372474564,2888.8631566558793,0.9383305111693723,175
130000,520.0000000010267,-3524806.0991253555,681774.625,-2843031.4741253555,300.9626919618557,2888.8631566558793,0.9383305111693723,174
131000,524.0000000010458,-3510253.339334447,682031.6875,-2828221.651834447,301.0761696701269,2888.8631566558793,0.9383305111693723,174
132000,528.0000000010649,-3526588.8758020513,678880.75,-2847708.1258020513,299.68521935101876,2888.8631566558793,0.9383305111693723,173
133000,532.000000001084,-3529474.7076974176,682706.0,-2846768.7076974176,301.37383828051776,2888.8631566558793,0.9383305111693723,172
134000,536.0000000011031,-3527257.9141440727,681508.25,-2845749.6641440727,300.8451033421981,2888.8631566558793,0.9383305111693723,172
135000,540.0000000011222,-3529810.430927925,684785.625,-2845024.805927925,302.29186825013005,2888.8631566558793,0.9383305111693723,171
136000,544.0000000011413,-3524478.983376231,684212.125,-2840266.858376231,302.038702324748,2888.8631566558793,0.9383305111693723,171
137000,548.0000000011604,-3529232.6875716336,682410.5,-2846822.1875716336,301.24339271652406,2888.8631566558793,0.9383305111693723,170
138000,552.0000000011795,-3512293.0827959776,679849.875,-2832443.2077959776,300.11303003530105,2888.8631566558793,0.9383305111693723,170
139000,556.0000000011986,-3532903.1960339434,682732.5625,-2850170.6335339434,301.38556403447234,2888.8631566558793,0.9383305111693723,169
140000,560.0000000012177,-3525124.8551148176,683525.25,-2841599.6051148176,301.73548812248686,2888.8631566558793,0.9383305111693723,168
141000,564.0000000012368,-3520506.659115836,681816.0625,-2838690.596615836,300.9809841380249,2888.8631566558793,0.9383305111693723,167
142000,568.0000000012559,-3526980.7512372024,682467.375,-2844513.3762372024,301.2684996249916,2888.8631566558793,0.9383305111693723,166
143000,572.000000001275,-3526351.508891508,680281.375,-2846070.133891508,300.30351145954234,2888.8631566558793,0.9383305111693723,165
144000,576.0000000012941,-3527062.067481719,681339.8125,-2845722.254981719,300.7707482671213,2888.8631566558793,0.9383305111693723,164
145000,580.0000000013132,-3521239.481844716,680604.5,-2840634.981844716,300.4461518076488,2888.8631566558793,0.9383305111693723,163
146000,584.0000000013323,-3527467.0714777373,683749.5625,-2843717.5089777373,301.83450866588225,2888.8631566558793,0.9383305111693723,163
147000,588.0000000013514,-3522644.26984882,683571.25,-2839073.01984882,301.75579436933526,2888.8631566558793,0.9383305111693723,162
148000,592.0000000013705,-3523114.619567685,679127.6875,-2843986.932067685,299.79422747778256,2888.8631566558793,0.9383305111693723,161
149000,596.0000000013896,-3529595.8126949184,681958.375,-2847637.4376949184,301.0438065892122,2888.8631566558793,0.9383305111693723,160
150000,600.0000000014087,-3521613.055981688,682979.625,-2838633.430981688,301.4946273412548,2888.8631566558793,0.9383305111693723,159
151000,604.0000000014278,-3529107.331843354,680194.3125,-2848913.019343354,300.26507857658055,2888.8631566558793,0.9383305111693723,159
152000,608.0000000014469,-3526828.9852094017,682314.9375,-2844514.0477094017,301.20120759229684,2888.8631566558793,0.9383305111693723,159
153000,612.000000001466,-3530057.829296693,683298.125,-2846759.704296693,301.6352260286727,2888.8631566558793,0.9383305111693723,159
154000,616.0000000014851,-3530484.1517135426,682239.9375,-2848244.2142135426,301.16809958113095,2888.8631566558793,0.9383305111693723,158
155000,620.0000000015042,-3516979.231999319,682164.8125,-2834814.419499319,301.13493638994635,2888.8631566558793,0.9383305111693723,158
156000,624.0000000015233,-3525339.4497960173,680348.25,-2844991.1997960173,300.3330327694986,2888.8631566558793,0.9383305111693723,158
157000,628.0000000015424,-3515026.5524321906,681601.1875,-2833425.3649321906,300.8861296860345,2888.8631566558793,0.9383305111693723,157
158000,632.0000000015615,-3525118.0357887447,683531.125,-2841586.9107887447,301.7380815833615,2888.8631566558793,0.9383305111693723,157
159000,636.0000000015806,-3527999.7671636976,683611.75,-2844388.0171636976,301.7736726953649,2888.8631566558793,0.9383305111693723,156
160000,640.0000000015997,-3523594.185880743,684961.375,-2838632.810880743,302.36945135629554,2888.8631566558793,0.9383305111693723,156
161000,644.0000000016188,-3518925.047547806,680597.4375,-2838327.610047806,300.44303413659736,2888.8631566558793,0.9383305111693723,156
162000,648.0000000016379,-3522432.8830909133,683162.375,-2839270.5080909133,301.5753005284624,2888.8631566558793,0.9383305111693723,155
163000,652.000000001657,-3527951.0586909093,682599.25,-2845351.8086909093,301.32671454462496,2888.8631566558793,0.9383305111693723,155
164000,656.0000000016761,-3527588.4178455435,682740.375,-2844848.0428455435,301.3890127856355,2888.8631566558793,0.9383305111693723,155
165000,660.0000000016952,-3528698.4136389457,680406.8125,-2848291.6011389457,300.3588846082173,2888.8631566558793,0.9383305111693723,154
166000,664.0000000017143,-3527701.135392029,683925.125,-2843776.010392029,301.9120090020198,2888.8631566558793,0.9383305111693723,154
167000,668.0000000017334,-3530316.7076385617,680717.5,-2849599.2076385617,300.4960345444721,2888.8631566558793,0.9383305111693723,154
168000,672.0000000017525,-3527638.0622020774,682468.25,-2845169.8122020774,301.26888588512185,2888.8631566558793,0.9383305111693723,153
169000,676.0000000017716,-3523690.3705238737,683201.6875,-2840488.6830238737,301.5926546443152,2888.8631566558793,0.9383305111693723,153
170000,680.0000000017907,-3522485.222041674,680747.4375,-2841737.784541674,300.50925015892915,2888.8631566558793,0.9383305111693723,153
171000,684.0000000018098,-3525675.5692275576,683241.0,-2842434.5692275576,301.610008760168,2888.8631566558793,0.9383305111693723,152
172000,688.0000000018289,-3527125.071301874,683137.0625,-2843988.008801874,301.5641265746939,2888.8631566558793,0.9383305111693723,152
173000,692.000000001848,-3523960.4784891233,683844.5,-2840115.9784891233,301.8764178900164,2888.8631566558793,0.9383305111693723,152
